               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10973,             0.05937,                   0,           0.0016114,             0.14607,          0.00089607,           0.0002312,             0.09884,            0.033536,                   0,             0.00022,             0.00022,             0.09802
                   1,             0.10374,             0.06061,                   0,            0.003814,            0.033708,           0.0010906,          0.00024821,            0.093077,            0.032435,                   0,          0.00044999,          0.00044999,             0.09595
                   2,            0.098798,            0.056891,                   0,            0.004427,            0.022472,           0.0015168,          0.00032991,            0.089977,            0.032192,                   0,          0.00067993,          0.00067993,             0.09388
                   3,            0.097787,            0.061209,                   0,           0.0059813,            0.022472,           0.0017532,          0.00038784,            0.088143,            0.032145,                   0,           0.0009098,           0.0009098,             0.09181
                   4,            0.094879,            0.060585,                   0,           0.0058316,            0.078652,           0.0021953,          0.00050446,            0.086018,             0.03244,                   0,           0.0011396,           0.0011396,             0.08974
                   5,            0.094441,            0.069138,                   0,            0.010041,            0.022472,           0.0029504,          0.00064254,            0.084602,            0.032673,                   0,           0.0013692,           0.0013692,            0.087669
                   6,            0.092087,            0.068671,                   0,           0.0097285,            0.033708,           0.0037131,          0.00073821,            0.083351,            0.032671,                   0,           0.0015986,           0.0015986,            0.085599
                   7,            0.090365,            0.077784,                   0,            0.010075,             0.23596,           0.0055754,           0.0011535,            0.081818,            0.032816,                   0,           0.0018278,           0.0018278,            0.083528
                   8,            0.087883,            0.075309,                   0,            0.020113,             0.16854,            0.009578,           0.0019102,            0.080903,            0.032451,                   0,           0.0020567,           0.0020567,            0.081457
                   9,             0.08645,              0.0673,                   0,            0.038113,             0.16854,            0.016212,           0.0031666,            0.079605,            0.032027,                   0,           0.0022854,           0.0022854,            0.079385
                  10,            0.083566,            0.068719,                   0,             0.07219,             0.14607,            0.027701,           0.0062569,            0.076605,            0.031883,                   0,           0.0025138,           0.0025138,            0.077314
                  11,            0.081922,            0.068674,                   0,              0.1367,             0.11236,            0.047595,           0.0091131,            0.075883,            0.031015,                   0,           0.0027418,           0.0027418,            0.075242
                  12,             0.07969,            0.070444,                   0,             0.12637,             0.24719,            0.065727,            0.015714,             0.07129,            0.031053,                   0,           0.0029694,           0.0029694,            0.073169
                  13,            0.076756,            0.062848,                   0,             0.19469,             0.35955,             0.11885,            0.026546,             0.06733,             0.03052,                   0,           0.0031966,           0.0031966,            0.071097
                  14,            0.074118,            0.066253,                   0,             0.23173,              0.2809,              0.1558,             0.04229,            0.063772,            0.029825,                   0,           0.0034234,           0.0034234,            0.069023
                  15,            0.070067,            0.059035,                   0,             0.27919,             0.35688,             0.18981,            0.050586,            0.060916,            0.028575,                   0,           0.0036497,           0.0036497,             0.06695
                  16,            0.067306,            0.055411,                   0,             0.32268,             0.47191,              0.2548,             0.07111,            0.059111,            0.028141,                   0,           0.0038754,           0.0038754,            0.064875
                  17,            0.064686,            0.055889,                   0,              0.2774,              0.4382,             0.20902,             0.09093,             0.05678,            0.027575,                   0,           0.0041006,           0.0041006,            0.062801
                  18,            0.062483,            0.051693,                   0,             0.37442,             0.50438,             0.29212,             0.12516,            0.053149,            0.027242,                   0,           0.0043252,           0.0043252,            0.060725
                  19,             0.06178,            0.054883,                   0,             0.38337,             0.47191,             0.30667,             0.16039,            0.051952,            0.027093,                   0,           0.0045493,           0.0045493,            0.058649
                  20,            0.060712,             0.05727,                   0,             0.38093,             0.41483,             0.29456,             0.13116,             0.05339,            0.028027,                   0,           0.0047726,           0.0047726,            0.056573
                  21,            0.057908,            0.049898,                   0,             0.40374,             0.47191,              0.3089,             0.13133,            0.049875,            0.026135,                   0,           0.0049953,           0.0049953,            0.054495
                  22,            0.061773,             0.05128,                   0,              0.3212,              0.5618,             0.30634,             0.15151,               0.049,            0.026837,                   0,           0.0052172,           0.0052172,            0.052417
                  23,            0.059008,            0.050466,                   0,             0.45372,             0.44796,             0.32062,             0.13972,             0.05001,            0.026032,                   0,           0.0054384,           0.0054384,            0.050338
                  24,             0.05866,            0.051151,                   0,             0.37012,             0.52809,             0.28621,               0.115,            0.048612,            0.025297,                   0,           0.0056589,           0.0056589,            0.048259
                  25,            0.053219,            0.051669,                   0,             0.41382,             0.64045,             0.40806,             0.15443,              0.0458,            0.024897,                   0,           0.0058785,           0.0058785,            0.046178
                  26,              0.0537,            0.050182,                   0,             0.47734,             0.59517,             0.42631,             0.16901,              0.0467,             0.02448,                   0,           0.0060972,           0.0060972,            0.044097
                  27,            0.054464,            0.048993,                   0,             0.56686,             0.60674,             0.47726,             0.26591,            0.044277,            0.024825,                   0,           0.0063151,           0.0063151,            0.042015
                  28,            0.051728,            0.048311,                   0,             0.57294,             0.60674,             0.51851,             0.29372,            0.039851,            0.024183,                   0,           0.0065321,           0.0065321,            0.039932
                  29,            0.049073,            0.048818,                   0,             0.54575,             0.59551,             0.53433,             0.29061,            0.040338,            0.022726,                   0,           0.0067481,           0.0067481,            0.037848
                  30,            0.049822,            0.048902,                   0,             0.54825,             0.62728,             0.55045,             0.29909,            0.039524,            0.025075,                   0,           0.0069632,           0.0069632,            0.035763
                  31,            0.047576,            0.047728,                   0,             0.60991,             0.58427,             0.56633,             0.28222,            0.039545,            0.023037,                   0,           0.0071772,           0.0071772,            0.033677
                  32,            0.047187,            0.043228,                   0,             0.58062,             0.64045,             0.57981,             0.35455,            0.034787,            0.023079,                   0,           0.0073903,           0.0073903,             0.03159
                  33,            0.046605,            0.043038,                   0,             0.53496,             0.68539,             0.56976,              0.3354,            0.037919,            0.026881,                   0,           0.0076022,           0.0076022,            0.029502
                  34,            0.043263,            0.044282,                   0,             0.56971,             0.66292,              0.5469,             0.30542,            0.038486,             0.02263,                   0,           0.0078131,           0.0078131,            0.027413
                  35,            0.042898,            0.044897,                   0,             0.61187,              0.5137,             0.56899,             0.33408,            0.037901,             0.02606,                   0,           0.0080228,           0.0080228,            0.025323
                  36,            0.045506,            0.041448,                   0,             0.55442,             0.68539,             0.54117,             0.29127,            0.038602,            0.023047,                   0,           0.0082314,           0.0082314,            0.023231
                  37,            0.048216,            0.042176,                   0,             0.64668,             0.61798,             0.61707,             0.32317,            0.038042,             0.02166,                   0,           0.0084388,           0.0084388,            0.021139
                  38,            0.046314,            0.042961,                   0,             0.63376,             0.58427,             0.57075,              0.3298,            0.037347,            0.023268,                   0,            0.008645,            0.008645,            0.019045
                  39,            0.043899,            0.037203,                   0,             0.48666,              0.6178,             0.49037,             0.29598,            0.039211,            0.024907,                   0,           0.0088499,           0.0088499,             0.01695
                  40,             0.04354,            0.044199,                   0,             0.63305,             0.52809,             0.57653,             0.35495,            0.040293,            0.022753,                   0,           0.0090535,           0.0090535,            0.014854
                  41,            0.043182,             0.04352,                   0,             0.62316,             0.59551,             0.62631,             0.39519,            0.037065,            0.022698,                   0,           0.0092559,           0.0092559,            0.012756
                  42,            0.044058,            0.044294,                   0,             0.70377,              0.5618,             0.57392,             0.33679,            0.035883,            0.022403,                   0,           0.0094569,           0.0094569,            0.010657
                  43,            0.045132,            0.039933,                   0,             0.49575,             0.73034,             0.57412,             0.32922,            0.036413,            0.022767,                   0,           0.0095514,           0.0095514,           0.0095514
                  44,            0.041313,            0.042593,                   0,             0.58519,             0.65169,              0.6068,             0.39162,            0.033571,            0.026933,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.042904,            0.040926,                   0,             0.63766,             0.59551,             0.59629,              0.3687,            0.036726,            0.021942,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.03859,            0.039689,                   0,             0.63909,             0.64045,             0.59849,             0.35782,            0.036847,            0.020863,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.038842,            0.047028,                   0,             0.56954,             0.68539,             0.60112,             0.35611,            0.037603,              0.0243,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.036392,             0.03886,                   0,             0.58573,             0.65133,             0.60289,             0.36106,            0.034904,            0.023054,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.039092,            0.041616,                   0,             0.71586,              0.7077,             0.69888,             0.42285,            0.033397,            0.020725,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,            0.040008,            0.036837,                   0,             0.63537,             0.68539,             0.67989,             0.41565,              0.0355,            0.020498,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.037735,             0.03611,                   0,             0.62837,             0.68539,             0.71002,             0.45734,            0.032047,            0.021529,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.036923,            0.037455,                   0,             0.61262,             0.73034,             0.66839,             0.41418,            0.033738,            0.022456,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,            0.036099,            0.035029,                   0,             0.61519,             0.62871,             0.58097,             0.37384,            0.033152,            0.023806,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,            0.037384,            0.036606,                   0,             0.65874,             0.62898,             0.61378,             0.38212,            0.034806,            0.021761,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,            0.036911,            0.033211,                   0,             0.69529,             0.69663,             0.69524,             0.47348,            0.031444,            0.020577,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,            0.034446,            0.036678,                   0,             0.69921,             0.70787,             0.68888,             0.46515,              0.0336,            0.020546,                   0,            0.009274,            0.009274,            0.009274
                  57,            0.033946,            0.035689,                   0,             0.74403,              0.7191,             0.71234,             0.46252,            0.031157,            0.019995,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,            0.035295,            0.033807,                   0,              0.7585,              0.7411,             0.75408,             0.48863,            0.031464,            0.019936,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,            0.035387,            0.038079,                   0,             0.74947,             0.70787,             0.69691,             0.47358,            0.031946,            0.021655,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.03463,            0.034193,                   0,             0.89494,             0.67416,             0.80974,             0.49985,             0.03015,            0.019969,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,            0.034387,            0.035804,                   0,             0.75817,             0.74157,             0.76999,               0.484,            0.033927,            0.019482,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,            0.035451,            0.037249,                   0,             0.79177,             0.72633,             0.76327,             0.51106,            0.030752,            0.020921,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,            0.033268,            0.033243,                   0,             0.74926,             0.77528,             0.75899,             0.53453,            0.030616,            0.019122,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,            0.033802,            0.037517,                   0,             0.76541,             0.69654,              0.7632,             0.48709,             0.03261,            0.019991,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,            0.033304,            0.032916,                   0,             0.74983,             0.77528,             0.74047,             0.48287,            0.029948,             0.02082,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,            0.034868,            0.034045,                   0,             0.71864,             0.77528,             0.78258,             0.48589,             0.03074,             0.02006,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,            0.031579,            0.034158,                   0,             0.67264,             0.80899,             0.76815,              0.4722,             0.03105,            0.019895,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,            0.032117,            0.034771,                   0,             0.81107,             0.62921,             0.74011,             0.48102,            0.033493,            0.022411,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,            0.032722,            0.033937,                   0,             0.76638,             0.77528,             0.80717,             0.49401,            0.032211,             0.01872,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,            0.033235,            0.033834,                   0,             0.78312,             0.73028,             0.75377,             0.50067,              0.0296,            0.019181,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,            0.033959,             0.03314,                   0,             0.67293,             0.78652,             0.75548,             0.44893,            0.032491,            0.019131,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,            0.032263,            0.034971,                   0,             0.75265,             0.75281,             0.80042,             0.51827,            0.029206,            0.017948,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,            0.032556,            0.034042,                   0,             0.76398,             0.76378,             0.79768,             0.51782,            0.029932,             0.01938,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,            0.032701,            0.034339,                   0,             0.74482,             0.82022,             0.82516,             0.50476,            0.030281,             0.01832,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,            0.032969,            0.030688,                   0,             0.74687,             0.79775,              0.8228,             0.54997,            0.028674,            0.018222,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,            0.029603,            0.027936,                   0,             0.79771,             0.79755,             0.81721,              0.5167,            0.031624,            0.018299,                   0,            0.008682,            0.008682,            0.008682
                  77,            0.029384,            0.031518,                   0,              0.8041,             0.74157,             0.80796,             0.53957,             0.03071,            0.018902,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,            0.030305,            0.030304,                   0,             0.79955,             0.76404,              0.8241,             0.56306,            0.029851,            0.018767,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,            0.031744,             0.03382,                   0,             0.73529,              0.8427,             0.78587,             0.48846,            0.032697,            0.019501,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,            0.031226,            0.031201,                   0,             0.81793,             0.70787,             0.79901,             0.53948,             0.02959,            0.018575,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,            0.029992,            0.033102,                   0,             0.79771,             0.79754,             0.80878,             0.56939,            0.028698,            0.017781,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,            0.030018,             0.03107,                   0,             0.80183,             0.82022,             0.83739,             0.59738,            0.027819,            0.016936,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,            0.030233,            0.030764,                   0,             0.78477,             0.82022,             0.86363,             0.60734,            0.026953,            0.017248,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.029573,            0.029591,                   0,             0.66469,             0.89888,             0.78932,             0.53873,            0.028702,            0.018578,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,            0.028258,            0.029944,                   0,              0.7812,             0.84244,             0.82335,             0.56512,            0.026826,            0.018106,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.029236,            0.027044,                   0,             0.79121,             0.80898,             0.82664,             0.53871,            0.029102,             0.01825,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,            0.030334,            0.029021,                   0,             0.82763,             0.86517,             0.86741,             0.59572,            0.026418,            0.016918,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.029358,            0.030488,                   0,             0.79997,             0.85378,             0.85483,             0.56644,            0.029686,            0.017104,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,            0.030295,            0.033572,                   0,             0.89009,             0.81891,             0.83043,             0.55193,            0.027325,            0.018218,                   0,           0.0082207,           0.0082207,           0.0082207
                  90,            0.029673,             0.03092,                   0,             0.78883,              0.8427,             0.86187,             0.59449,            0.027371,            0.017368,                   0,            0.008183,            0.008183,            0.008183
                  91,            0.030951,            0.031363,                   0,             0.80599,              0.8427,              0.8489,             0.58237,            0.027511,            0.017221,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.027752,            0.031865,                   0,             0.78324,             0.85393,              0.8581,             0.57618,            0.026911,            0.016969,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.027582,            0.029954,                   0,             0.76763,             0.85373,             0.85415,             0.59216,            0.026964,            0.017778,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.029265,            0.029811,                   0,             0.78693,             0.83146,             0.87222,               0.572,            0.027646,             0.01681,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.029304,            0.029155,                   0,             0.83856,             0.87547,             0.87786,               0.583,            0.027501,            0.017152,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.028315,             0.02917,                   0,             0.84085,             0.83112,             0.88309,              0.6139,             0.02672,            0.016774,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.028856,            0.028015,                   0,             0.81689,             0.85393,             0.84846,             0.56677,            0.027578,            0.017678,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.029548,            0.030043,                   0,             0.86217,             0.78652,             0.82892,             0.56454,            0.027581,            0.018898,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.029572,            0.031348,                   0,             0.86661,             0.87598,             0.86965,             0.58105,             0.02721,            0.018368,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.027743,            0.028277,                   0,             0.78863,             0.79775,             0.82189,             0.57523,            0.025279,            0.018374,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,             0.02884,            0.030708,                   0,             0.77884,             0.83097,             0.80479,             0.55819,            0.027508,            0.018677,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.027552,            0.029797,                   0,             0.78175,             0.88764,             0.86178,              0.5519,            0.028195,            0.018047,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.027268,            0.030698,                   0,             0.75999,             0.85387,             0.80775,             0.55297,            0.027363,            0.020106,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.027422,            0.028284,                   0,             0.80642,             0.84253,             0.80302,             0.59046,            0.026142,            0.018175,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.028248,             0.02662,                   0,             0.84874,             0.81959,             0.85628,             0.58752,            0.027412,             0.01715,                   0,           0.0075848,           0.0075848,           0.0075848
