               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060562,            0.049103,            0.050694,             0.73552,             0.31656,             0.34529,             0.19706,            0.039141,            0.030064,            0.027309,           0.0033313,           0.0033313,            0.070018
                   1,            0.047583,            0.044463,            0.026883,             0.63176,             0.48154,             0.48595,             0.28828,            0.037283,             0.02984,            0.018477,           0.0066646,           0.0066646,            0.040018
                   2,            0.047025,            0.046522,            0.023471,             0.69328,             0.42132,             0.47196,             0.26441,            0.039085,            0.032107,            0.017806,           0.0099976,           0.0099976,            0.010018
                   3,            0.045342,            0.047502,            0.022759,             0.69557,             0.53289,             0.56028,             0.33727,            0.034863,             0.02962,            0.013757,           0.0099992,           0.0099992,           0.0099992
                   4,            0.042967,            0.045996,            0.020205,             0.73486,               0.543,             0.59476,             0.37318,            0.033257,            0.029059,            0.012753,           0.0099992,           0.0099992,           0.0099992
                   5,            0.041557,             0.04573,            0.018813,             0.72753,             0.58395,             0.63529,             0.40285,            0.031728,            0.027964,            0.011501,           0.0099986,           0.0099986,           0.0099986
                   6,            0.040431,            0.044424,            0.017804,             0.78036,             0.57682,             0.65526,             0.42381,            0.030977,            0.027286,            0.010976,           0.0099978,           0.0099978,           0.0099978
                   7,            0.039763,            0.044415,            0.017009,             0.73158,             0.62393,             0.67589,             0.44525,            0.030296,            0.026905,            0.010133,           0.0099968,           0.0099968,           0.0099968
                   8,            0.039264,            0.043604,            0.016362,             0.76916,             0.59377,             0.68206,             0.45375,            0.030046,            0.026856,            0.009965,           0.0099956,           0.0099956,           0.0099956
                   9,            0.038697,            0.043264,             0.01596,             0.72624,             0.66039,             0.70589,             0.47448,            0.029322,            0.026376,           0.0091988,           0.0099943,           0.0099943,           0.0099943
                  10,             0.03832,            0.042949,            0.015749,             0.74527,             0.66927,              0.7216,             0.48463,             0.02895,            0.025647,           0.0089914,           0.0099928,           0.0099928,           0.0099928
                  11,            0.037982,            0.042945,            0.015321,             0.79299,             0.65087,             0.73236,              0.4998,            0.028192,            0.025299,           0.0086263,           0.0099911,           0.0099911,           0.0099911
