               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067679,             0.05793,            0.068407,             0.96475,            0.053267,            0.073939,            0.043608,            0.044039,            0.034247,            0.052463,           0.0033313,           0.0033313,            0.070018
                   1,            0.049445,            0.050238,            0.047342,             0.71291,              0.2577,             0.25109,             0.14585,            0.040329,            0.032098,            0.033518,           0.0066646,           0.0066646,            0.040018
                   2,            0.048594,            0.049224,            0.034771,             0.63281,             0.35073,             0.34609,              0.1896,            0.040206,            0.031972,            0.025129,           0.0099976,           0.0099976,            0.010018
                   3,            0.047271,            0.049545,            0.029285,             0.62527,             0.40292,             0.41593,             0.24316,            0.038191,            0.031585,            0.019968,           0.0099992,           0.0099992,           0.0099992
                   4,             0.04602,            0.048643,            0.026043,              0.7071,             0.44269,             0.47522,             0.27972,            0.036957,            0.030795,            0.017494,           0.0099992,           0.0099992,           0.0099992
                   5,             0.04504,            0.048335,            0.024168,             0.67875,             0.45459,              0.4936,              0.2927,            0.036608,            0.030567,            0.016565,           0.0099986,           0.0099986,           0.0099986
                   6,            0.044565,            0.047852,            0.023124,             0.66314,             0.50614,             0.52551,             0.32129,            0.035388,             0.03034,            0.014822,           0.0099978,           0.0099978,           0.0099978
                   7,            0.044135,            0.047382,            0.022295,             0.71064,             0.48992,             0.53968,             0.32762,            0.035333,            0.029969,            0.014279,           0.0099968,           0.0099968,           0.0099968
                   8,            0.043747,            0.047329,            0.021541,             0.73605,             0.50929,             0.56227,             0.34463,            0.034556,            0.029501,            0.013474,           0.0099956,           0.0099956,           0.0099956
                   9,            0.043303,            0.047088,            0.021072,             0.71765,              0.5276,             0.58332,             0.36289,            0.034118,            0.029195,            0.013012,           0.0099943,           0.0099943,           0.0099943
                  10,            0.043101,            0.046945,            0.020347,             0.70281,             0.55591,             0.58966,             0.36945,            0.033767,            0.028676,            0.012493,           0.0099928,           0.0099928,           0.0099928
                  11,            0.042921,            0.046758,            0.020167,             0.74147,             0.53586,             0.60495,             0.38123,             0.03332,            0.028633,            0.012008,           0.0099911,           0.0099911,           0.0099911
                  12,             0.04269,            0.046577,            0.019836,             0.77509,             0.52562,              0.6076,             0.38663,            0.033284,            0.028768,            0.011744,           0.0099893,           0.0099893,           0.0099893
                  13,            0.042411,            0.046344,            0.019623,             0.73615,             0.56915,             0.61644,             0.39329,            0.032703,            0.028229,            0.011419,           0.0099872,           0.0099872,           0.0099872
                  14,            0.042237,            0.046181,             0.01928,             0.75329,             0.55696,             0.62825,             0.40136,            0.032535,            0.028135,            0.011227,            0.009985,            0.009985,            0.009985
                  15,            0.042057,             0.04643,            0.019178,             0.74345,             0.57889,              0.6389,             0.41764,            0.032159,             0.02777,            0.010833,           0.0099826,           0.0099826,           0.0099826
                  16,            0.042036,            0.046129,            0.018916,              0.7317,             0.58938,             0.63772,             0.41553,            0.032222,             0.02781,            0.010826,             0.00998,             0.00998,             0.00998
                  17,            0.041812,            0.045504,            0.018743,             0.75981,             0.56726,              0.6438,             0.42106,            0.031903,            0.027656,            0.010571,           0.0099773,           0.0099773,           0.0099773
                  18,            0.041812,            0.045818,            0.018643,             0.75654,             0.58915,             0.65727,             0.42867,             0.03171,            0.027467,            0.010437,           0.0099744,           0.0099744,           0.0099744
                  19,            0.041706,            0.045949,             0.01841,             0.76368,             0.58622,              0.6604,             0.43518,            0.031557,            0.027377,            0.010354,           0.0099713,           0.0099713,           0.0099713
                  20,            0.041572,            0.045961,            0.018141,             0.78265,             0.59404,             0.66908,             0.44257,             0.03128,             0.02716,            0.010113,            0.009968,            0.009968,            0.009968
