               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10012,            0.028614,                   0,            0.052236,            0.047619,            0.016282,           0.0042171,            0.025523,             0.01509,                   0,             0.00047,             0.00047,             0.09577
                   1,             0.06419,            0.024965,                   0,             0.85708,             0.57143,             0.71521,             0.40298,             0.01432,            0.011239,                   0,          0.00094991,          0.00094991,             0.09145
                   2,            0.058353,            0.019931,                   0,             0.66557,             0.66667,             0.70863,             0.33124,            0.014645,           0.0074941,                   0,           0.0014294,           0.0014294,            0.087129
                   3,            0.054631,            0.016756,                   0,             0.44009,             0.80952,             0.59565,             0.21774,            0.015231,            0.006273,                   0,           0.0019083,           0.0019083,            0.082808
                   4,            0.050721,            0.015846,                   0,             0.57111,              0.7619,             0.54836,             0.15251,            0.016332,           0.0052445,                   0,           0.0023862,           0.0023862,            0.078486
                   5,            0.048341,            0.014789,                   0,             0.68084,             0.76185,             0.80528,             0.36822,            0.013476,           0.0048849,                   0,           0.0028629,           0.0028629,            0.074163
                   6,            0.047969,             0.01355,                   0,             0.83289,             0.83333,             0.89452,             0.33498,             0.01272,           0.0042954,                   0,           0.0033381,           0.0033381,            0.069838
                   7,            0.044923,            0.013161,                   0,             0.81355,             0.85714,             0.86207,             0.52873,            0.010526,           0.0034732,                   0,           0.0038115,           0.0038115,            0.065512
                   8,            0.041184,            0.012575,                   0,              0.9314,             0.97619,             0.97099,             0.38723,            0.015236,           0.0034345,                   0,           0.0042828,           0.0042828,            0.061183
                   9,            0.039074,            0.011909,                   0,             0.86916,             0.95238,             0.93598,             0.52579,           0.0088858,           0.0033488,                   0,           0.0047518,           0.0047518,            0.056852
                  10,            0.040129,            0.011891,                   0,             0.91109,               0.976,             0.96324,             0.70768,           0.0092066,           0.0030997,                   0,           0.0052182,           0.0052182,            0.052518
                  11,             0.03952,            0.010747,                   0,             0.97552,             0.95238,             0.99117,              0.7424,           0.0081939,           0.0026479,                   0,           0.0056816,           0.0056816,            0.048182
                  12,            0.040582,            0.011265,                   0,             0.92744,             0.92857,             0.97086,             0.60125,           0.0096757,           0.0029483,                   0,           0.0061419,           0.0061419,            0.043842
                  13,            0.040354,            0.011528,                   0,              0.8829,             0.92857,             0.95428,             0.64777,           0.0086001,           0.0033509,                   0,           0.0065988,           0.0065988,            0.039499
                  14,            0.039179,            0.010979,                   0,              0.9998,                   1,               0.995,             0.81791,           0.0057097,           0.0024594,                   0,           0.0070519,           0.0070519,            0.035152
                  15,            0.037484,            0.010331,                   0,             0.99981,             0.97619,              0.9754,             0.74213,           0.0065805,           0.0030809,                   0,           0.0075011,           0.0075011,            0.030801
