               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10772,            0.041302,                   0,            0.056241,              0.0625,            0.012827,             0.00228,            0.093593,            0.032975,                   0,             0.00033,             0.00033,             0.09703
                   1,            0.092991,            0.043767,                   0,             0.44334,             0.11458,            0.090426,            0.013782,             0.08246,            0.032485,                   0,          0.00066998,          0.00066998,             0.09397
                   2,            0.077284,            0.044945,                   0,             0.43007,             0.27083,             0.24832,            0.067238,            0.069272,             0.03153,                   0,           0.0010099,           0.0010099,             0.09091
                   3,            0.065733,            0.044494,                   0,             0.41513,             0.48958,             0.38478,             0.11768,            0.059284,             0.03055,                   0,           0.0013497,           0.0013497,             0.08785
                   4,            0.058773,            0.040342,                   0,              0.4094,             0.38542,             0.27566,            0.053572,            0.078339,            0.024821,                   0,           0.0016893,           0.0016893,            0.084789
                   5,            0.063871,            0.035761,                   0,             0.38446,             0.52083,             0.34831,             0.12625,            0.061819,             0.02456,                   0,           0.0020287,           0.0020287,            0.081729
                   6,            0.060424,            0.035221,                   0,             0.51892,             0.54167,             0.48262,             0.18864,            0.058343,            0.023723,                   0,           0.0023679,           0.0023679,            0.078668
                   7,            0.056996,            0.032733,                   0,             0.49963,             0.54167,             0.42292,             0.15876,            0.052403,             0.02299,                   0,           0.0027067,           0.0027067,            0.075607
                   8,            0.053769,            0.031734,                   0,             0.54119,             0.52083,             0.43223,              0.1292,            0.054218,            0.021215,                   0,           0.0030452,           0.0030452,            0.072545
                   9,            0.052087,            0.030311,                   0,             0.69684,             0.60417,             0.62539,             0.25316,            0.046802,            0.022031,                   0,           0.0033832,           0.0033832,            0.069483
                  10,             0.05015,            0.028668,                   0,             0.84114,             0.55155,             0.66724,             0.33065,            0.046294,             0.02139,                   0,           0.0037208,           0.0037208,            0.066421
                  11,            0.045713,            0.027789,                   0,              0.8243,              0.4887,             0.61326,             0.23497,            0.051483,            0.020256,                   0,           0.0040579,           0.0040579,            0.063358
                  12,            0.046387,            0.026994,                   0,             0.74678,             0.64514,             0.67062,             0.35313,            0.044603,            0.019906,                   0,           0.0043944,           0.0043944,            0.060294
                  13,             0.04559,            0.027524,                   0,             0.86755,             0.61407,             0.72581,             0.38984,            0.040224,            0.020402,                   0,           0.0047302,           0.0047302,             0.05723
                  14,            0.045449,            0.027428,                   0,             0.68255,             0.55994,             0.61221,             0.32589,            0.048101,            0.019414,                   0,           0.0050654,           0.0050654,            0.054165
                  15,            0.047371,             0.02532,                   0,             0.57075,               0.625,             0.57223,             0.30157,            0.045355,            0.019632,                   0,           0.0053999,           0.0053999,              0.0511
                  16,            0.047892,            0.026957,                   0,             0.77845,             0.69792,             0.74449,             0.39189,            0.042584,            0.019244,                   0,           0.0057336,           0.0057336,            0.048034
                  17,             0.04469,            0.025611,                   0,             0.67667,             0.69762,             0.70617,             0.42574,            0.038163,            0.019287,                   0,           0.0060665,           0.0060665,            0.044967
                  18,             0.04237,            0.024408,                   0,             0.58529,             0.60417,             0.59899,             0.25979,            0.047423,            0.018566,                   0,           0.0063986,           0.0063986,            0.041899
                  19,            0.044201,             0.02389,                   0,             0.68843,             0.64446,             0.69493,             0.37829,            0.041413,            0.018557,                   0,           0.0067297,           0.0067297,             0.03883
                  20,            0.040925,             0.02456,                   0,             0.82047,             0.66648,             0.74475,             0.37422,            0.037734,            0.018661,                   0,           0.0070599,           0.0070599,             0.03576
                  21,            0.040483,            0.025042,                   0,                   1,             0.56235,             0.73437,             0.37663,            0.043818,            0.021043,                   0,            0.007389,            0.007389,            0.032689
                  22,            0.037923,            0.023385,                   0,             0.93617,               0.625,             0.76378,             0.42074,            0.040642,            0.017307,                   0,           0.0077171,           0.0077171,            0.029617
                  23,            0.038419,            0.023402,                   0,             0.83392,             0.69792,             0.77416,             0.45486,            0.037498,            0.017451,                   0,           0.0080441,           0.0080441,            0.026544
                  24,            0.040714,            0.023488,                   0,             0.91547,             0.67686,             0.79002,             0.43071,            0.037183,             0.01757,                   0,             0.00837,             0.00837,             0.02347
                  25,            0.039802,            0.025089,                   0,             0.80216,              0.6758,             0.74929,             0.37994,            0.041902,            0.019694,                   0,           0.0086946,           0.0086946,            0.020395
                  26,            0.039205,            0.022762,                   0,             0.90409,             0.68731,             0.78328,              0.4231,            0.038417,            0.018267,                   0,            0.009018,            0.009018,            0.017318
                  27,            0.038479,            0.024363,                   0,             0.82526,             0.73958,             0.78295,             0.41366,            0.037162,            0.018357,                   0,           0.0093401,           0.0093401,             0.01424
                  28,            0.035213,            0.022731,                   0,             0.90402,              0.6868,             0.80392,             0.47579,            0.036379,             0.01834,                   0,           0.0096608,           0.0096608,            0.011161
                  29,             0.03996,            0.021128,                   0,             0.83925,             0.70833,             0.75176,             0.34173,            0.039836,            0.017329,                   0,           0.0097941,           0.0097941,           0.0097941
                  30,            0.034221,            0.021555,                   0,             0.91579,              0.6875,             0.79423,             0.49598,            0.033303,            0.017862,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.033737,            0.020574,                   0,             0.88158,              0.6979,              0.7806,             0.44007,            0.037104,            0.017694,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.032309,            0.021805,                   0,             0.93598,               0.625,             0.76756,             0.42614,            0.036783,            0.018098,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.033778,            0.023393,                   0,             0.89979,             0.65625,             0.77434,             0.43202,            0.036116,            0.017704,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.032402,            0.021522,                   0,             0.82404,             0.78054,             0.81568,             0.50448,            0.034408,            0.017155,                   0,            0.009734,            0.009734,            0.009734
                  35,             0.03095,            0.020449,                   0,             0.91358,             0.66667,             0.78311,             0.48623,            0.035753,            0.017526,                   0,           0.0097178,           0.0097178,           0.0097178
