               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10587,              0.0402,                   0,             0.10074,             0.19982,            0.078154,            0.013789,            0.068398,            0.023717,                   0,             0.00035,             0.00035,             0.09685
                   1,            0.082003,            0.041788,                   0,             0.25773,             0.35052,             0.19832,            0.047075,            0.055179,             0.02098,                   0,          0.00070998,          0.00070998,             0.09361
                   2,            0.065751,             0.03957,                   0,             0.62817,             0.50507,             0.52227,             0.20618,            0.040517,            0.020885,                   0,           0.0010699,           0.0010699,             0.09037
                   3,            0.052896,             0.03541,                   0,             0.64808,             0.74227,             0.72711,             0.38723,            0.032174,            0.014122,                   0,           0.0014297,           0.0014297,             0.08713
                   4,            0.047306,              0.0263,                   0,             0.44148,             0.59794,             0.47104,             0.12687,            0.040449,             0.01219,                   0,           0.0017893,           0.0017893,            0.083889
                   5,            0.049166,            0.024897,                   0,             0.52653,             0.78351,             0.62171,             0.27653,            0.031748,            0.011211,                   0,           0.0021487,           0.0021487,            0.080649
                   6,            0.045744,            0.024046,                   0,             0.64963,             0.80412,             0.70916,              0.3477,            0.026732,            0.010368,                   0,           0.0025078,           0.0025078,            0.077408
                   7,            0.041846,            0.021772,                   0,              0.8644,             0.85438,             0.89037,              0.4446,            0.024323,           0.0090732,                   0,           0.0028665,           0.0028665,            0.074167
                   8,            0.041179,            0.020907,                   0,             0.81244,             0.80381,             0.88492,             0.47874,             0.02326,           0.0084927,                   0,           0.0032249,           0.0032249,            0.070925
                   9,            0.036686,            0.019511,                   0,             0.80849,             0.73992,             0.85733,             0.48226,            0.024274,           0.0083971,                   0,           0.0035828,           0.0035828,            0.067683
                  10,            0.036826,            0.019264,                   0,             0.86167,             0.83482,             0.89302,             0.51197,             0.02244,           0.0075249,                   0,           0.0039403,           0.0039403,             0.06444
                  11,            0.033845,            0.019881,                   0,             0.87342,             0.86598,             0.90982,             0.59539,            0.022895,            0.007386,                   0,           0.0042971,           0.0042971,            0.061197
                  12,            0.037346,            0.018119,                   0,             0.71309,             0.94845,             0.88368,             0.62769,            0.021036,           0.0072471,                   0,           0.0046534,           0.0046534,            0.057953
                  13,            0.032972,            0.019189,                   0,             0.82403,             0.91724,             0.91964,             0.47833,            0.025852,           0.0069611,                   0,           0.0050091,           0.0050091,            0.054709
                  14,            0.037361,            0.017718,                   0,             0.94504,             0.88634,             0.95987,              0.6927,            0.018514,           0.0066422,                   0,            0.005364,            0.005364,            0.051464
                  15,            0.034084,            0.018161,                   0,             0.86109,             0.95857,             0.94346,             0.70744,            0.014744,           0.0069761,                   0,           0.0057181,           0.0057181,            0.048218
                  16,             0.03447,            0.017334,                   0,             0.93257,             0.85553,             0.95479,             0.63568,            0.017139,           0.0063056,                   0,           0.0060715,           0.0060715,            0.044971
                  17,            0.034472,            0.018712,                   0,             0.91488,              0.8864,             0.94107,             0.70918,            0.015386,            0.006505,                   0,            0.006424,            0.006424,            0.041724
                  18,            0.031258,            0.016544,                   0,             0.86357,             0.91753,             0.90349,             0.65464,            0.015773,           0.0067265,                   0,           0.0067756,           0.0067756,            0.038476
                  19,            0.030436,            0.017578,                   0,             0.88782,              0.9791,             0.93917,             0.72706,            0.014429,            0.005984,                   0,           0.0071262,           0.0071262,            0.035226
                  20,            0.031884,            0.016603,                   0,              0.9038,             0.96907,             0.96802,             0.72699,            0.014734,           0.0059576,                   0,           0.0074758,           0.0074758,            0.031976
                  21,            0.028302,            0.016389,                   0,             0.92232,             0.97923,              0.9493,             0.72531,            0.014352,           0.0057241,                   0,           0.0078243,           0.0078243,            0.028724
                  22,            0.027803,            0.015898,                   0,             0.91998,             0.94818,             0.97781,              0.7736,            0.014727,           0.0054105,                   0,           0.0081717,           0.0081717,            0.025472
                  23,            0.030991,            0.016798,                   0,             0.94889,             0.95694,              0.9763,             0.72005,            0.015511,           0.0056989,                   0,           0.0085179,           0.0085179,            0.022218
                  24,            0.028785,            0.016514,                   0,             0.81128,             0.88637,             0.89611,              0.6133,             0.02212,           0.0066365,                   0,           0.0088629,           0.0088629,            0.018963
                  25,            0.030278,            0.017173,                   0,             0.93996,             0.96907,             0.94753,             0.69224,            0.015716,           0.0060032,                   0,           0.0092066,           0.0092066,            0.015707
                  26,            0.027724,            0.016209,                   0,             0.92232,             0.97921,             0.94931,             0.72116,            0.014805,           0.0052043,                   0,            0.009549,            0.009549,            0.012449
                  27,            0.027423,            0.016882,                   0,             0.91345,              0.9792,             0.95346,             0.69784,            0.017359,            0.005764,                   0,           0.0098213,           0.0098213,           0.0098213
                  28,            0.029463,             0.01609,                   0,             0.92074,             0.95876,             0.95042,             0.70838,            0.015901,           0.0057232,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.026264,            0.015824,                   0,             0.95759,             0.93814,              0.9739,             0.71379,            0.015324,           0.0056922,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.029307,            0.016515,                   0,             0.89205,             0.94845,             0.95856,             0.59417,            0.019564,           0.0059673,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,            0.028349,            0.016191,                   0,                0.94,             0.96904,             0.97944,             0.75675,            0.014311,           0.0052591,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.025466,            0.014675,                   0,             0.91429,             0.98969,             0.98291,             0.71953,             0.02014,           0.0052046,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.024751,            0.014954,                   0,             0.94055,             0.97865,             0.98144,             0.77037,            0.016268,           0.0055976,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,            0.024482,             0.01432,                   0,             0.92155,             0.96878,             0.97209,             0.78475,            0.014939,           0.0056957,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.024621,             0.01518,                   0,             0.93069,             0.96904,             0.96012,             0.75518,            0.013749,            0.005373,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.023926,            0.015145,                   0,             0.98936,             0.95841,              0.9922,              0.7608,             0.01502,           0.0048465,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.021987,            0.014425,                   0,             0.92077,             0.95849,             0.96982,             0.81574,            0.013344,           0.0050863,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.021537,            0.014777,                   0,             0.96875,             0.95868,              0.9725,             0.81958,            0.011776,           0.0045647,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.024008,            0.014032,                   0,             0.95049,             0.98968,             0.97835,              0.7126,            0.016271,           0.0048708,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.023355,            0.013586,                   0,             0.97903,             0.96907,             0.97973,             0.80215,            0.012845,            0.004859,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.021817,            0.014593,                   0,             0.96944,             0.98969,              0.9848,             0.79791,            0.014522,           0.0052263,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.021316,            0.014149,                   0,             0.95686,             0.91753,             0.97318,             0.77931,            0.012396,           0.0055321,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.020511,            0.014226,                   0,             0.93189,             0.98969,             0.96918,             0.79203,            0.014038,           0.0058301,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.020829,            0.014815,                   0,                0.93,             0.95875,             0.95958,             0.78314,            0.014028,           0.0051438,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.021534,            0.013512,                   0,             0.93926,             0.95876,             0.96716,             0.77444,            0.013313,           0.0056512,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.021432,            0.013596,                   0,             0.93136,             0.97918,             0.96261,             0.80545,            0.011608,           0.0046242,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.020936,            0.014291,                   0,             0.96774,             0.92766,             0.95995,             0.80222,            0.012173,           0.0048113,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.021366,            0.013297,                   0,             0.93134,             0.97938,             0.96253,             0.79269,            0.011279,            0.004898,                   0,           0.0094659,           0.0094659,           0.0094659
