               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094531,            0.032248,                   0,             0.22629,             0.39773,             0.21925,            0.063022,            0.054659,            0.027628,                   0,             0.00058,             0.00058,             0.09478
                   1,            0.060735,            0.028621,                   0,             0.63962,             0.59659,              0.6483,             0.35618,            0.034081,            0.021924,                   0,           0.0011699,           0.0011699,             0.08947
                   2,            0.046133,            0.023936,                   0,             0.45407,             0.64743,             0.48187,             0.15668,            0.038893,            0.020426,                   0,           0.0017596,           0.0017596,             0.08416
                   3,            0.043965,            0.021903,                   0,             0.67599,             0.81795,             0.74773,             0.47543,            0.027233,            0.015705,                   0,           0.0023488,           0.0023488,            0.078849
                   4,            0.039808,            0.020813,                   0,             0.91563,             0.92045,             0.93916,             0.63999,            0.022563,            0.013849,                   0,           0.0029374,           0.0029374,            0.073537
                   5,            0.037952,            0.019593,                   0,             0.87879,             0.90909,             0.92134,             0.64502,            0.020657,            0.013092,                   0,           0.0035251,           0.0035251,            0.068225
                   6,            0.034077,            0.017357,                   0,             0.91606,             0.86932,             0.91908,             0.65761,            0.022392,            0.014521,                   0,           0.0041118,           0.0041118,            0.062912
                   7,            0.034529,            0.018066,                   0,             0.91966,             0.91477,             0.94225,             0.73491,            0.018743,            0.012495,                   0,           0.0046972,           0.0046972,            0.057597
                   8,            0.032805,            0.016563,                   0,             0.97341,             0.83523,             0.92376,             0.66307,            0.020628,            0.013022,                   0,           0.0052812,           0.0052812,            0.052281
                   9,            0.033624,            0.017156,                   0,             0.77984,             0.92577,             0.86638,             0.61023,            0.020255,            0.012183,                   0,           0.0058636,           0.0058636,            0.046964
                  10,            0.031251,            0.016277,                   0,             0.88514,             0.92045,             0.94006,             0.63593,            0.019239,             0.01142,                   0,           0.0064441,           0.0064441,            0.041644
                  11,            0.033092,            0.015814,                   0,             0.95061,             0.87491,             0.93613,              0.6003,            0.018768,            0.011648,                   0,           0.0070226,           0.0070226,            0.036323
                  12,            0.029687,            0.015529,                   0,             0.95035,             0.88636,             0.92342,             0.65859,            0.018463,            0.011808,                   0,           0.0075989,           0.0075989,            0.030999
                  13,            0.033174,            0.016678,                   0,             0.77964,             0.76705,             0.83352,             0.52861,            0.022092,            0.015519,                   0,           0.0081729,           0.0081729,            0.025673
                  14,            0.033802,            0.015892,                   0,             0.92683,              0.8636,             0.91441,             0.62653,             0.01777,             0.01318,                   0,           0.0087442,           0.0087442,            0.020344
                  15,            0.031521,            0.016147,                   0,             0.92704,             0.79416,             0.88328,             0.62577,            0.019376,            0.013422,                   0,           0.0093128,           0.0093128,            0.015013
                  16,            0.034175,            0.016086,                   0,             0.73276,             0.48295,             0.58764,             0.32561,            0.027658,            0.023654,                   0,           0.0098586,           0.0098586,           0.0098586
                  17,            0.031785,            0.015478,                   0,             0.90457,             0.86932,             0.91408,             0.64412,            0.017743,            0.011806,                   0,           0.0098586,           0.0098586,           0.0098586
                  18,            0.028755,            0.015935,                   0,             0.89438,             0.86932,             0.92859,             0.69561,            0.017347,            0.012076,                   0,           0.0098405,           0.0098405,           0.0098405
                  19,            0.029664,            0.015616,                   0,             0.90621,             0.88068,             0.91808,              0.6693,            0.017584,            0.013613,                   0,           0.0098213,           0.0098213,           0.0098213
                  20,            0.026737,            0.014902,                   0,             0.90173,             0.88632,              0.9103,             0.68211,            0.016391,            0.011944,                   0,           0.0098011,           0.0098011,           0.0098011
                  21,            0.025806,            0.015288,                   0,             0.87571,             0.84066,             0.85612,             0.62038,            0.015764,            0.014217,                   0,           0.0097798,           0.0097798,           0.0097798
                  22,            0.025016,            0.014144,                   0,             0.89641,             0.84091,             0.87148,             0.65942,            0.016901,            0.015015,                   0,           0.0097574,           0.0097574,           0.0097574
                  23,            0.025652,            0.015793,                   0,             0.80985,             0.85227,             0.87887,             0.62353,            0.018382,            0.015112,                   0,            0.009734,            0.009734,            0.009734
                  24,            0.024053,            0.015118,                   0,             0.89939,             0.91477,             0.93971,             0.73448,            0.015252,            0.010628,                   0,           0.0097095,           0.0097095,           0.0097095
                  25,            0.023775,            0.015083,                   0,             0.93291,             0.86913,             0.91528,             0.71639,            0.013365,            0.012312,                   0,            0.009684,            0.009684,            0.009684
