               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10453,            0.023837,                   0,            0.045611,            0.067416,             0.01389,           0.0028881,            0.092062,            0.027788,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.078009,             0.01989,                   0,             0.46803,             0.17978,              0.1829,            0.050844,             0.07299,            0.029332,                   0,          0.00092998,          0.00092998,             0.09163
                   2,            0.066705,            0.019835,                   0,             0.34841,             0.48315,             0.31796,             0.12185,            0.064069,            0.028733,                   0,           0.0013999,           0.0013999,              0.0874
                   3,            0.057481,            0.018171,                   0,             0.42062,             0.59551,             0.44877,             0.15634,            0.053892,            0.027865,                   0,           0.0018696,           0.0018696,             0.08317
                   4,            0.054129,            0.017207,                   0,              0.5129,             0.42593,             0.42713,             0.13883,             0.05562,            0.025414,                   0,           0.0023391,           0.0023391,            0.078939
                   5,             0.04714,             0.01597,                   0,             0.79785,             0.46067,             0.60613,              0.2585,            0.048002,            0.025882,                   0,           0.0028083,           0.0028083,            0.074708
                   6,            0.047083,             0.01555,                   0,             0.68531,             0.68512,             0.72278,             0.39366,            0.043349,            0.024684,                   0,           0.0032771,           0.0032771,            0.070477
                   7,            0.043919,            0.015079,                   0,             0.65566,             0.68464,             0.69198,             0.38375,            0.041707,            0.024956,                   0,           0.0037455,           0.0037455,            0.066245
                   8,            0.041115,            0.014372,                   0,             0.86254,             0.49353,             0.58271,             0.30626,            0.044955,            0.025923,                   0,           0.0042133,           0.0042133,            0.062013
                   9,            0.040692,            0.014411,                   0,             0.45376,             0.64045,             0.46128,             0.22478,            0.042783,             0.02558,                   0,           0.0046806,           0.0046806,            0.057781
                  10,            0.040264,            0.013237,                   0,             0.60664,             0.60674,             0.50253,             0.25721,            0.043911,            0.024419,                   0,           0.0051473,           0.0051473,            0.053547
                  11,            0.039889,             0.01294,                   0,             0.79088,             0.59492,              0.6768,             0.34613,            0.044444,            0.026143,                   0,           0.0056132,           0.0056132,            0.049313
                  12,            0.041503,            0.013197,                   0,             0.95628,             0.49438,             0.64592,             0.38935,            0.047028,            0.024933,                   0,           0.0060784,           0.0060784,            0.045078
                  13,            0.040754,            0.012954,                   0,             0.59248,             0.64045,             0.66249,              0.4189,            0.040333,            0.023298,                   0,           0.0065426,           0.0065426,            0.040843
                  14,            0.037461,             0.01213,                   0,             0.51737,             0.47191,             0.44624,             0.23002,            0.054223,            0.024595,                   0,            0.007006,            0.007006,            0.036606
                  15,            0.037019,            0.011605,                   0,             0.63269,              0.5618,             0.63536,             0.34275,            0.034524,            0.024872,                   0,           0.0074684,           0.0074684,            0.032368
                  16,            0.037371,            0.011208,                   0,             0.77632,             0.51685,             0.61867,             0.31323,            0.046911,            0.025092,                   0,           0.0079297,           0.0079297,             0.02813
                  17,            0.035795,            0.011714,                   0,             0.49997,             0.57303,              0.4556,             0.23956,            0.045176,            0.028592,                   0,           0.0083899,           0.0083899,             0.02389
                  18,            0.038219,            0.011141,                   0,             0.18894,             0.34831,             0.18056,            0.091965,            0.057372,            0.033472,                   0,           0.0088489,           0.0088489,            0.019649
                  19,            0.041688,            0.011868,                   0,              0.3554,             0.59472,             0.33378,               0.135,            0.047256,            0.025967,                   0,           0.0093066,           0.0093066,            0.015407
                  20,             0.04107,            0.012686,                   0,             0.75793,             0.52809,             0.56808,             0.26152,            0.044351,            0.027287,                   0,            0.009763,            0.009763,            0.011163
                  21,            0.039669,            0.013396,                   0,             0.48423,             0.53933,             0.47331,             0.25782,            0.045745,            0.027634,                   0,           0.0098916,           0.0098916,           0.0098916
                  22,            0.037354,            0.011944,                   0,             0.59331,             0.60651,             0.55328,             0.24776,             0.04668,            0.029364,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.037317,            0.012502,                   0,             0.34497,             0.53933,             0.35477,             0.17312,            0.052351,            0.030566,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.038721,            0.012734,                   0,             0.76302,             0.47191,             0.50668,             0.21696,            0.058668,            0.025509,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.036296,            0.011947,                   0,              0.4681,             0.51685,             0.44012,             0.23754,            0.049542,            0.028901,                   0,           0.0098586,           0.0098586,           0.0098586
                  26,            0.038572,            0.012247,                   0,             0.54155,              0.2809,             0.33109,             0.16423,            0.055946,            0.032151,                   0,           0.0098467,           0.0098467,           0.0098467
                  27,            0.038565,            0.012169,                   0,             0.50591,             0.43719,             0.38721,             0.18241,            0.047046,            0.034103,                   0,           0.0098342,           0.0098342,           0.0098342
                  28,             0.03501,             0.01225,                   0,             0.55033,             0.52809,             0.44758,             0.25827,            0.050743,             0.03241,                   0,           0.0098213,           0.0098213,           0.0098213
                  29,            0.034176,            0.011684,                   0,             0.44192,             0.62921,             0.37145,             0.19139,            0.043135,            0.026311,                   0,           0.0098079,           0.0098079,           0.0098079
                  30,            0.033137,            0.011653,                   0,             0.49988,             0.49438,             0.46792,             0.21895,            0.047215,            0.024064,                   0,           0.0097941,           0.0097941,           0.0097941
                  31,             0.03366,             0.01141,                   0,             0.55803,             0.53933,             0.51471,             0.27265,            0.040103,            0.026863,                   0,           0.0097798,           0.0097798,           0.0097798
                  32,            0.034515,            0.011612,                   0,               0.457,             0.55056,             0.49564,             0.27021,            0.043478,            0.031333,                   0,            0.009765,            0.009765,            0.009765
                  33,            0.030726,            0.011539,                   0,             0.48501,             0.47191,             0.39499,             0.16988,            0.063878,            0.029784,                   0,           0.0097497,           0.0097497,           0.0097497
                  34,             0.03324,            0.010875,                   0,             0.48792,             0.24719,             0.23099,             0.12059,            0.052774,            0.041828,                   0,            0.009734,            0.009734,            0.009734
                  35,            0.032643,            0.010897,                   0,             0.55027,              0.4812,             0.49931,             0.21921,            0.045043,            0.029983,                   0,           0.0097178,           0.0097178,           0.0097178
                  36,            0.031248,            0.010869,                   0,             0.76455,             0.41573,             0.52061,             0.27724,            0.044219,            0.032035,                   0,           0.0097011,           0.0097011,           0.0097011
                  37,            0.030676,            0.010999,                   0,             0.69098,             0.52761,             0.62885,             0.28912,            0.035863,            0.024913,                   0,            0.009684,            0.009684,            0.009684
                  38,            0.030936,            0.010006,                   0,             0.94839,             0.41573,             0.55152,             0.31922,            0.046745,            0.031474,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,            0.032298,            0.010193,                   0,             0.57019,             0.58427,             0.58427,              0.3793,            0.040697,            0.029078,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,            0.031078,           0.0095607,                   0,             0.59589,              0.4382,             0.49717,             0.29975,            0.044604,            0.037716,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,            0.031261,            0.010249,                   0,             0.78974,             0.59551,             0.70214,             0.46802,            0.038693,            0.027506,                   0,            0.009611,            0.009611,            0.009611
                  42,            0.030565,            0.010526,                   0,             0.65321,             0.55026,             0.61895,             0.40668,            0.039333,            0.026351,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,            0.028407,            0.010322,                   0,             0.83285,             0.50562,             0.60192,             0.37984,            0.042466,            0.029517,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,            0.028157,           0.0096761,                   0,             0.67055,             0.50562,             0.52887,             0.33509,            0.045574,            0.028628,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,            0.027031,           0.0094311,                   0,             0.49959,             0.58333,             0.50827,             0.28956,            0.045608,            0.031184,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,            0.028328,           0.0092884,                   0,             0.67897,             0.61798,             0.62654,             0.39441,            0.031201,             0.02702,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,            0.029485,           0.0093736,                   0,             0.64504,             0.57171,             0.59952,             0.35832,             0.03973,            0.026395,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,            0.027059,           0.0092163,                   0,             0.69184,             0.50454,             0.55512,             0.32605,            0.052111,             0.03415,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,            0.028014,           0.0090628,                   0,             0.80077,             0.50562,             0.61305,             0.35338,               0.039,            0.028834,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.02698,           0.0091636,                   0,             0.66213,             0.58427,             0.64887,             0.34912,             0.03885,            0.027821,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,            0.028709,           0.0094531,                   0,             0.53782,             0.70787,             0.52496,             0.30377,            0.037661,            0.029397,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,            0.026502,           0.0090512,                   0,              0.6168,             0.61798,             0.55738,             0.33197,            0.037284,            0.029808,                   0,           0.0093733,           0.0093733,           0.0093733
