               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096319,            0.029182,                   0,             0.14627,             0.28117,             0.12793,            0.021212,            0.022227,            0.013269,                   0,             0.00045,             0.00045,             0.09595
                   1,            0.066798,            0.026002,                   0,             0.52049,             0.64103,             0.53363,             0.21257,            0.014409,           0.0096274,                   0,          0.00090991,          0.00090991,             0.09181
                   2,            0.055325,            0.022551,                   0,             0.45857,              0.4359,             0.36665,             0.24911,            0.013637,           0.0070663,                   0,           0.0013695,           0.0013695,            0.087669
                   3,            0.049931,             0.02033,                   0,             0.52256,             0.53846,             0.53272,             0.26151,            0.016166,           0.0053229,                   0,           0.0018284,           0.0018284,            0.083528
                   4,            0.045556,             0.01931,                   0,             0.64847,             0.61538,             0.60692,             0.24879,            0.012046,           0.0045518,                   0,           0.0022864,           0.0022864,            0.079386
                   5,            0.047285,             0.01847,                   0,              0.7328,             0.84615,             0.83487,             0.51929,            0.010322,           0.0040896,                   0,           0.0027432,           0.0027432,            0.075243
                   6,             0.04064,            0.017355,                   0,             0.86782,             0.84615,             0.87706,             0.56584,           0.0085938,            0.003619,                   0,           0.0031986,           0.0031986,            0.071099
                   7,            0.038855,            0.018016,                   0,             0.87684,             0.74359,             0.84181,             0.57828,            0.011467,           0.0031011,                   0,           0.0036523,           0.0036523,            0.066952
                   8,            0.038388,            0.016771,                   0,             0.83251,             0.76923,              0.8225,             0.53551,           0.0098741,           0.0032137,                   0,            0.004104,            0.004104,            0.062804
                   9,            0.035625,            0.016138,                   0,              0.7748,             0.79487,             0.79548,             0.51484,           0.0095435,            0.003137,                   0,           0.0045534,           0.0045534,            0.058653
                  10,            0.037179,            0.014603,                   0,             0.82305,             0.71795,             0.78204,             0.29534,            0.017098,           0.0027277,                   0,           0.0050003,           0.0050003,              0.0545
                  11,            0.037542,            0.015439,                   0,              0.6827,             0.71723,             0.76521,             0.48011,           0.0084622,             0.00286,                   0,           0.0054445,           0.0054445,            0.050344
                  12,             0.03618,            0.015374,                   0,             0.83737,             0.79487,             0.80608,             0.41237,            0.010094,           0.0024378,                   0,           0.0058856,           0.0058856,            0.046186
                  13,            0.036206,            0.015715,                   0,             0.57625,             0.76923,              0.6726,             0.33534,            0.010883,           0.0027702,                   0,           0.0063234,           0.0063234,            0.042023
                  14,            0.034881,            0.014339,                   0,             0.71416,             0.76876,             0.78597,             0.50773,            0.010516,           0.0026507,                   0,           0.0067577,           0.0067577,            0.037858
                  15,            0.034651,            0.014772,                   0,              0.4745,             0.74359,             0.58562,              0.2932,            0.012151,           0.0027549,                   0,           0.0071881,           0.0071881,            0.033688
                  16,            0.031756,            0.013238,                   0,             0.79985,             0.61538,             0.75432,             0.43761,           0.0087783,           0.0027109,                   0,           0.0076145,           0.0076145,            0.029515
                  17,            0.035579,             0.01437,                   0,             0.58046,             0.82051,              0.6766,             0.49684,           0.0065742,           0.0028572,                   0,           0.0080366,           0.0080366,            0.025337
                  18,            0.033191,            0.014387,                   0,             0.74995,             0.69231,             0.68719,             0.33552,           0.0099432,           0.0031937,                   0,           0.0084541,           0.0084541,            0.021154
                  19,            0.034871,            0.014601,                   0,             0.67488,             0.69194,             0.70322,             0.33852,            0.011581,           0.0030198,                   0,           0.0088669,           0.0088669,            0.016967
                  20,            0.033693,            0.014838,                   0,             0.63264,             0.79482,             0.75387,             0.54887,           0.0080426,           0.0030244,                   0,           0.0092746,           0.0092746,            0.012775
                  21,            0.035636,            0.014765,                   0,             0.74101,             0.66667,             0.70802,             0.46532,            0.010942,           0.0028507,                   0,           0.0095717,           0.0095717,           0.0095717
                  22,            0.031181,            0.014412,                   0,             0.81796,             0.69231,              0.7166,             0.49861,           0.0084276,           0.0024869,                   0,           0.0095717,           0.0095717,           0.0095717
                  23,            0.032047,            0.013545,                   0,             0.72196,             0.66667,             0.66836,             0.42254,           0.0074776,           0.0032599,                   0,           0.0095307,           0.0095307,           0.0095307
                  24,            0.034524,             0.01488,                   0,             0.65156,             0.76923,             0.77834,             0.41255,           0.0076422,           0.0028805,                   0,           0.0094879,           0.0094879,           0.0094879
                  25,            0.030975,            0.013523,                   0,             0.63457,             0.84615,             0.76098,             0.46616,           0.0090539,            0.002535,                   0,           0.0094434,           0.0094434,           0.0094434
