               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10904,            0.033034,            0.027079,           0.0043816,             0.16136,           0.0034296,          0.00067739,             0.07255,            0.023414,            0.017933,             0.00033,             0.00033,             0.09703
                   1,            0.090796,             0.03397,            0.023493,            0.023325,             0.16136,            0.014016,           0.0029112,            0.061194,            0.021985,            0.013863,          0.00066998,          0.00066998,             0.09397
                   2,            0.077676,             0.03455,            0.019138,              0.1135,             0.20631,            0.069078,            0.022044,            0.055483,             0.01999,            0.010172,           0.0010099,           0.0010099,             0.09091
                   3,            0.068521,              0.0349,            0.016618,             0.23963,             0.48763,             0.24775,            0.098416,            0.048855,             0.01829,           0.0077904,           0.0013497,           0.0013497,             0.08785
                   4,            0.060881,              0.0309,             0.01383,             0.41106,             0.39482,             0.34081,               0.116,            0.046639,            0.016685,           0.0058826,           0.0016893,           0.0016893,            0.084789
                   5,            0.059035,            0.032618,            0.010264,              0.4532,             0.53616,             0.45517,             0.14909,            0.042028,            0.015858,           0.0035932,           0.0020287,           0.0020287,            0.081729
                   6,            0.058082,            0.031152,           0.0084028,             0.42769,             0.44773,             0.42254,             0.16509,            0.042059,            0.015345,           0.0025727,           0.0023679,           0.0023679,            0.078668
                   7,            0.054315,            0.027179,           0.0065246,             0.49075,             0.40541,              0.4256,             0.19648,            0.047347,            0.014532,           0.0019858,           0.0027067,           0.0027067,            0.075607
                   8,            0.054544,             0.02706,           0.0056949,             0.36224,             0.59823,             0.46657,             0.18865,            0.040733,            0.015284,           0.0018492,           0.0030452,           0.0030452,            0.072545
                   9,            0.053074,             0.02679,           0.0054225,             0.65404,             0.51212,             0.58371,             0.25892,            0.036439,            0.014647,           0.0015879,           0.0033832,           0.0033832,            0.069483
                  10,            0.051317,            0.026052,           0.0047904,             0.50433,             0.71111,             0.59065,             0.20859,            0.041053,            0.014441,           0.0015926,           0.0037208,           0.0037208,            0.066421
                  11,             0.05063,            0.024541,           0.0040826,             0.68701,             0.57273,             0.68254,             0.25825,            0.038515,            0.013732,           0.0013083,           0.0040579,           0.0040579,            0.063358
                  12,            0.049282,             0.02593,           0.0053198,             0.44755,             0.69848,             0.55789,             0.27185,            0.035569,            0.013696,           0.0016861,           0.0043944,           0.0043944,            0.060294
                  13,            0.049038,            0.024203,           0.0042044,             0.68976,             0.47828,             0.59027,             0.29662,            0.035665,            0.013678,           0.0012826,           0.0047302,           0.0047302,             0.05723
                  14,            0.048163,            0.022203,           0.0044507,             0.47644,             0.70833,             0.62311,              0.3441,            0.033082,            0.013402,           0.0015385,           0.0050654,           0.0050654,            0.054165
                  15,            0.050927,            0.024908,           0.0043704,             0.46339,             0.72348,             0.60744,             0.36171,            0.036985,            0.013163,           0.0015657,           0.0053999,           0.0053999,              0.0511
                  16,            0.047552,            0.023122,            0.004289,             0.73781,             0.41724,             0.57651,             0.31859,            0.036298,            0.012565,           0.0017737,           0.0057336,           0.0057336,            0.048034
                  17,            0.046459,            0.020144,           0.0046289,             0.72422,             0.51288,             0.60658,             0.30934,            0.038258,            0.012701,           0.0018971,           0.0060665,           0.0060665,            0.044967
                  18,             0.04802,            0.023023,            0.004882,             0.67323,             0.59293,             0.61098,             0.27522,            0.039223,            0.012459,           0.0014091,           0.0063986,           0.0063986,            0.041899
                  19,            0.046685,            0.022952,           0.0038622,             0.56437,             0.66338,             0.58802,              0.2854,            0.037253,            0.012101,           0.0014998,           0.0067297,           0.0067297,             0.03883
                  20,            0.044048,            0.023245,           0.0042436,             0.52387,             0.64749,             0.52773,             0.26423,             0.03766,            0.016401,           0.0015851,           0.0070599,           0.0070599,             0.03576
                  21,            0.043622,            0.020911,           0.0037654,             0.38492,             0.38712,             0.33984,             0.14552,            0.038808,            0.014373,           0.0022933,            0.007389,            0.007389,            0.032689
                  22,            0.043271,            0.022985,           0.0047145,             0.58341,             0.67828,             0.63559,             0.29934,            0.035628,            0.013287,           0.0020558,           0.0077171,           0.0077171,            0.029617
                  23,            0.044397,            0.022802,           0.0041068,             0.73137,             0.56263,             0.63615,             0.29852,            0.032401,            0.012418,            0.001478,           0.0080441,           0.0080441,            0.026544
                  24,            0.045261,             0.02182,           0.0067095,             0.53237,             0.54798,             0.53352,             0.28283,            0.035844,            0.014653,           0.0041612,             0.00837,             0.00837,             0.02347
                  25,            0.046936,            0.022914,           0.0048057,              0.7345,             0.42753,             0.52117,             0.20633,            0.039285,            0.012966,           0.0019405,           0.0086946,           0.0086946,            0.020395
                  26,            0.043935,            0.021854,           0.0043214,              0.3909,             0.53763,             0.44781,             0.19527,            0.035226,            0.014224,           0.0023142,            0.009018,            0.009018,            0.017318
                  27,            0.041528,            0.020511,           0.0042321,             0.37327,             0.41768,             0.35216,             0.14495,            0.039282,            0.014115,           0.0063578,           0.0093401,           0.0093401,             0.01424
                  28,            0.045484,            0.024643,           0.0063306,             0.56146,             0.22571,             0.27224,            0.074619,            0.039484,            0.021108,           0.0043829,           0.0096608,           0.0096608,            0.011161
                  29,            0.042665,             0.02438,           0.0047755,             0.37184,             0.54506,             0.41034,             0.18077,            0.037549,            0.014021,           0.0023982,           0.0097941,           0.0097941,           0.0097941
                  30,            0.042577,             0.02492,           0.0055794,             0.55481,             0.44881,             0.47177,             0.16873,            0.035381,            0.014912,           0.0021557,           0.0097941,           0.0097941,           0.0097941
                  31,            0.043844,            0.023262,           0.0059889,             0.38494,             0.69394,             0.47656,             0.23236,             0.03292,            0.013158,           0.0025832,           0.0097798,           0.0097798,           0.0097798
                  32,            0.043126,            0.024335,           0.0057283,              0.5854,             0.37778,             0.41938,             0.21233,            0.034257,            0.013878,           0.0050751,            0.009765,            0.009765,            0.009765
                  33,             0.04116,            0.024886,           0.0046862,             0.83143,             0.34722,             0.42302,             0.20537,            0.036692,            0.013356,           0.0074116,           0.0097497,           0.0097497,           0.0097497
