               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097907,            0.029453,                   0,             0.02531,             0.71429,            0.024184,            0.005317,            0.030707,            0.015328,                   0,              0.0002,              0.0002,              0.0982
                   1,            0.085796,            0.021821,                   0,            0.070495,             0.14286,            0.042963,            0.010127,            0.029223,            0.010821,                   0,          0.00040999,          0.00040999,             0.09631
                   2,            0.077361,            0.020745,                   0,            0.045195,             0.14286,            0.037616,            0.005585,            0.028525,           0.0088136,                   0,          0.00061994,          0.00061994,             0.09442
                   3,            0.072194,            0.019639,                   0,            0.021495,             0.57143,            0.023909,           0.0049888,             0.02601,           0.0077558,                   0,          0.00082982,          0.00082982,             0.09253
                   4,            0.074219,            0.018981,                   0,            0.032069,             0.14286,            0.022423,           0.0035601,            0.023588,           0.0070366,                   0,           0.0010396,           0.0010396,             0.09064
                   5,            0.068282,            0.018781,                   0,             0.02863,             0.14286,            0.023314,           0.0042992,            0.024143,           0.0063229,                   0,           0.0012492,           0.0012492,            0.088749
                   6,            0.070532,            0.019376,                   0,             0.03217,             0.70756,            0.024573,           0.0080029,            0.023266,            0.005916,                   0,           0.0014587,           0.0014587,            0.086859
                   7,            0.063221,            0.018749,                   0,            0.050068,             0.57143,            0.036066,           0.0059029,            0.022745,           0.0055852,                   0,            0.001668,            0.001668,            0.084968
                   8,            0.056988,            0.019111,                   0,              0.1585,             0.14286,            0.081358,            0.013821,            0.021895,           0.0053357,                   0,            0.001877,            0.001877,            0.083077
                   9,            0.058149,            0.019391,                   0,             0.82809,             0.14286,             0.23568,            0.052708,            0.021862,           0.0050485,                   0,           0.0020858,           0.0020858,            0.081186
                  10,            0.056094,            0.021054,                   0,             0.37748,             0.52317,             0.34026,            0.078969,             0.02218,           0.0048493,                   0,           0.0022943,           0.0022943,            0.079294
                  11,            0.058879,             0.02132,                   0,             0.47744,             0.39634,             0.27734,            0.069158,            0.021979,           0.0047607,                   0,           0.0025025,           0.0025025,            0.077403
