               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098956,            0.051008,            0.038654,           0.0043715,             0.29753,           0.0026693,          0.00055776,            0.066433,            0.026876,            0.029973,             0.00047,             0.00047,             0.09577
                   1,            0.086599,            0.055863,            0.036943,             0.01753,             0.39136,            0.012307,           0.0026556,            0.057487,            0.027019,            0.028715,          0.00094998,          0.00094998,             0.09145
                   2,            0.077741,            0.061964,            0.035253,            0.050071,             0.22593,            0.039902,            0.007292,            0.047975,            0.027149,            0.028268,           0.0014299,           0.0014299,             0.08713
                   3,            0.070397,            0.062438,            0.034254,             0.13323,             0.25083,             0.12568,            0.048021,            0.042521,            0.025336,            0.027868,           0.0019096,           0.0019096,             0.08281
                   4,            0.064555,            0.056309,            0.033397,             0.54735,             0.40247,             0.17597,            0.068933,            0.039834,            0.021588,            0.026974,           0.0023891,           0.0023891,            0.078489
                   5,            0.059288,            0.053213,            0.032322,             0.58198,             0.53192,             0.20227,            0.087921,            0.036487,            0.018545,            0.026922,           0.0028682,           0.0028682,            0.074168
                   6,            0.054868,            0.048194,            0.031551,             0.56781,              0.5284,              0.2086,             0.10763,            0.034602,            0.017277,            0.025013,            0.003347,            0.003347,            0.069847
                   7,            0.051638,            0.048266,            0.030369,             0.21045,             0.68853,             0.22634,             0.12257,             0.03338,            0.016787,            0.024618,           0.0038254,           0.0038254,            0.065525
                   8,            0.049903,            0.044164,            0.028826,             0.39268,             0.63152,             0.29312,             0.13512,            0.032685,            0.016172,            0.024289,           0.0043032,           0.0043032,            0.061203
                   9,            0.048662,            0.044875,            0.028645,             0.34402,             0.74205,             0.30348,             0.15272,            0.031239,            0.015972,            0.022764,           0.0047804,           0.0047804,             0.05688
                  10,            0.046946,            0.041915,            0.026845,             0.32821,             0.71503,             0.29046,              0.1548,            0.030676,             0.01594,            0.022253,            0.005257,            0.005257,            0.052557
                  11,            0.046643,            0.040634,            0.025428,             0.34982,              0.4075,              0.3174,             0.16884,            0.029409,            0.015514,             0.02227,           0.0057329,           0.0057329,            0.048233
                  12,            0.045631,            0.039709,            0.025107,             0.39456,             0.53891,             0.38487,             0.19297,            0.027887,            0.014983,            0.020509,           0.0062079,           0.0062079,            0.043908
                  13,            0.044663,            0.038727,            0.022583,             0.33525,             0.83282,             0.35614,             0.18216,            0.027744,            0.015251,            0.019287,           0.0066821,           0.0066821,            0.039582
                  14,            0.043013,            0.036679,             0.02318,             0.35379,             0.44793,             0.38738,             0.19981,            0.026383,             0.01474,            0.020232,           0.0071553,           0.0071553,            0.035255
                  15,            0.042774,            0.038488,            0.022233,             0.40018,             0.59717,             0.43343,             0.24394,            0.025565,            0.014645,             0.01928,           0.0076275,           0.0076275,            0.030928
                  16,            0.042022,            0.038989,            0.023178,              0.4325,             0.50813,             0.45897,             0.24916,            0.025752,            0.014426,            0.019633,           0.0080986,           0.0080986,            0.026599
                  17,            0.042425,            0.037436,            0.021114,             0.39545,              0.7106,             0.45335,             0.22759,            0.026074,            0.014125,            0.019129,           0.0085686,           0.0085686,            0.022269
                  18,             0.04125,            0.037023,            0.022249,             0.43959,             0.66276,              0.5096,              0.2404,            0.026495,            0.014033,            0.019288,           0.0090374,           0.0090374,            0.017937
                  19,            0.039894,            0.035768,            0.021381,             0.47174,             0.51312,             0.50419,             0.29502,            0.023671,            0.013699,            0.019419,           0.0095049,           0.0095049,            0.013605
                  20,            0.039734,            0.034333,            0.020894,             0.46783,             0.71475,             0.48836,             0.26966,            0.026019,            0.012916,            0.018838,           0.0099017,           0.0099017,           0.0099017
                  21,              0.0382,            0.034659,            0.019422,             0.52613,             0.64256,             0.53953,             0.26365,            0.025387,            0.013427,            0.017263,           0.0099017,           0.0099017,           0.0099017
                  22,             0.03724,             0.03579,            0.020588,             0.40319,             0.51445,             0.46343,             0.25114,            0.025209,            0.013552,            0.017382,           0.0098916,           0.0098916,           0.0098916
                  23,            0.037812,            0.034825,            0.020282,             0.39955,              0.7597,             0.49284,             0.27202,            0.024289,            0.013438,             0.01654,           0.0098811,           0.0098811,           0.0098811
                  24,            0.036998,            0.034477,            0.018561,             0.52371,             0.75999,             0.55317,             0.29914,            0.024149,            0.012479,            0.019254,           0.0098701,           0.0098701,           0.0098701
                  25,            0.035444,            0.033538,            0.017273,             0.38099,             0.91247,             0.53326,             0.28666,            0.023267,            0.013297,            0.021199,           0.0098586,           0.0098586,           0.0098586
                  26,            0.033951,            0.033146,            0.017619,             0.46954,             0.73021,             0.53277,             0.30504,            0.022401,            0.012511,            0.018669,           0.0098467,           0.0098467,           0.0098467
                  27,            0.034565,            0.033314,            0.017025,             0.49206,               0.913,             0.58163,             0.30649,            0.021937,            0.012075,            0.013674,           0.0098342,           0.0098342,           0.0098342
                  28,            0.034654,            0.034985,            0.017084,             0.49606,             0.85861,             0.54006,             0.29497,            0.021209,            0.012805,            0.023586,           0.0098213,           0.0098213,           0.0098213
                  29,            0.036855,            0.033379,            0.016067,             0.37498,             0.69513,             0.42039,             0.21843,            0.023355,            0.014173,            0.019635,           0.0098079,           0.0098079,           0.0098079
                  30,            0.035686,            0.034391,            0.016325,             0.30643,              0.8711,             0.48305,             0.26251,            0.023694,            0.013426,            0.018736,           0.0097941,           0.0097941,           0.0097941
                  31,            0.033403,            0.032236,            0.015077,             0.46033,             0.85011,             0.53103,             0.24952,            0.023467,            0.012569,             0.01605,           0.0097798,           0.0097798,           0.0097798
                  32,            0.033701,            0.031921,            0.014362,              0.4576,             0.62665,             0.52248,             0.28913,            0.022354,            0.012708,            0.020114,            0.009765,            0.009765,            0.009765
                  33,            0.034026,            0.033335,            0.012864,             0.57202,             0.52689,             0.51096,              0.2858,            0.021882,            0.012014,            0.014203,           0.0097497,           0.0097497,           0.0097497
