               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092326,            0.023955,                   0,           0.0012804,            0.039216,          0.00078491,          0.00011026,            0.069935,           0.0094366,                   0,             0.00063,             0.00063,             0.09433
                   1,            0.083307,            0.019005,                   0,           0.0016615,            0.039216,          0.00099476,          0.00016508,            0.062832,           0.0067675,                   0,             0.00127,             0.00127,             0.08857
                   2,            0.073958,              0.0193,                   0,            0.010454,            0.098039,           0.0036736,          0.00082211,            0.054548,           0.0061332,                   0,           0.0019098,           0.0019098,             0.08281
                   3,            0.063683,            0.020219,                   0,            0.016708,             0.21569,           0.0078016,           0.0026506,            0.048355,           0.0058828,                   0,           0.0025494,           0.0025494,            0.077049
                   4,            0.056552,            0.019943,                   0,            0.076635,            0.098039,            0.022441,           0.0069256,            0.044614,           0.0058224,                   0,           0.0031887,           0.0031887,            0.071289
                   5,            0.052107,            0.020049,                   0,            0.062726,              0.2549,            0.039653,             0.01378,            0.040382,           0.0055445,                   0,           0.0038276,           0.0038276,            0.065528
                   6,            0.050998,            0.018705,                   0,             0.11299,             0.33333,            0.073157,             0.03216,             0.03745,           0.0048754,                   0,            0.004466,            0.004466,            0.059766
                   7,            0.047637,            0.017445,                   0,             0.24218,             0.19608,             0.11458,            0.053429,            0.034015,           0.0046887,                   0,           0.0051038,           0.0051038,            0.054004
                   8,            0.045455,            0.016759,                   0,             0.16941,             0.39216,             0.16893,             0.05431,            0.033063,           0.0044937,                   0,           0.0057409,           0.0057409,            0.048241
                   9,            0.044121,            0.015732,                   0,             0.39544,             0.37255,             0.28849,             0.12986,            0.030557,            0.004363,                   0,           0.0063772,           0.0063772,            0.042477
                  10,            0.043085,            0.016329,                   0,             0.27614,             0.21569,             0.12822,            0.049245,            0.033224,           0.0044308,                   0,           0.0070127,           0.0070127,            0.036713
                  11,            0.042238,            0.015305,                   0,                0.16,             0.33333,             0.10167,            0.048414,            0.033715,           0.0041401,                   0,           0.0076471,           0.0076471,            0.030947
                  12,            0.041189,            0.015365,                   0,              0.1831,             0.39216,             0.16166,            0.047891,            0.036014,           0.0040844,                   0,           0.0082805,           0.0082805,            0.025181
                  13,             0.04263,            0.015445,                   0,             0.33285,             0.19608,             0.22415,            0.071537,            0.032892,           0.0040323,                   0,           0.0089127,           0.0089127,            0.019413
                  14,            0.042177,            0.014814,                   0,             0.30608,             0.29412,             0.24294,             0.10089,            0.033142,           0.0042108,                   0,           0.0095437,           0.0095437,            0.013644
                  15,            0.042257,            0.015638,                   0,             0.37746,             0.21569,             0.21835,            0.080285,            0.039014,           0.0037335,                   0,           0.0099446,           0.0099446,           0.0099446
                  16,            0.041544,            0.015067,                   0,             0.21404,             0.29412,             0.17897,            0.067545,            0.032011,           0.0044207,                   0,           0.0099446,           0.0099446,           0.0099446
                  17,            0.040661,              0.0145,                   0,             0.07731,             0.37255,             0.05358,            0.018817,            0.040426,           0.0039584,                   0,            0.009937,            0.009937,            0.009937
                  18,            0.038887,            0.014513,                   0,             0.19572,             0.60784,              0.1972,            0.062386,            0.032786,           0.0045158,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.038556,            0.013753,                   0,             0.46434,             0.13725,             0.14683,            0.054359,            0.037233,           0.0035552,                   0,           0.0099203,           0.0099203,           0.0099203
