               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07343,            0.041854,            0.032362,             0.56233,             0.66975,             0.52955,              0.2099,            0.043179,            0.013342,            0.023829,             0.00207,             0.00207,             0.08137
                   1,            0.052531,            0.031932,            0.018585,             0.67737,             0.67468,             0.69584,             0.35363,            0.032202,           0.0094729,           0.0067637,           0.0041498,           0.0041498,             0.06265
                   2,            0.047835,            0.028914,            0.012751,             0.86397,             0.76092,             0.87494,             0.54416,            0.028428,           0.0097054,           0.0075044,           0.0062286,           0.0062286,            0.043929
                   3,            0.043275,            0.027592,            0.011399,               0.801,              0.7854,             0.84127,             0.58114,            0.026555,           0.0095656,           0.0051627,           0.0083058,           0.0083058,            0.025206
                   4,            0.042135,            0.027871,            0.011695,             0.71252,             0.74595,             0.85815,             0.48031,             0.03157,            0.012254,           0.0097405,           0.0099911,           0.0099911,           0.0099911
                   5,            0.038001,             0.02823,            0.010843,             0.78887,             0.88075,              0.8951,             0.60259,            0.024307,           0.0092067,            0.012399,           0.0099911,           0.0099911,           0.0099911
                   6,            0.035117,            0.027592,           0.0097744,               0.779,             0.86377,              0.9077,             0.65707,            0.020646,           0.0082259,           0.0059631,           0.0099861,           0.0099861,           0.0099861
                   7,            0.034134,            0.026979,           0.0092909,             0.80786,             0.82336,             0.86767,             0.62347,            0.020664,           0.0078746,           0.0052482,             0.00998,             0.00998,             0.00998
                   8,            0.032203,            0.025941,           0.0088869,             0.85265,              0.7904,             0.87364,             0.63111,            0.023685,            0.010385,           0.0053468,           0.0099728,           0.0099728,           0.0099728
                   9,            0.031072,            0.025527,           0.0083956,             0.87643,             0.79462,             0.87756,             0.66093,            0.022727,           0.0084789,           0.0049759,           0.0099645,           0.0099645,           0.0099645
                  10,            0.030961,            0.025398,           0.0080764,             0.95618,              0.8236,             0.90315,             0.69316,            0.020129,           0.0083778,           0.0031056,           0.0099551,           0.0099551,           0.0099551
                  11,            0.029767,            0.025186,           0.0080481,             0.90409,             0.83768,             0.89422,             0.66001,            0.020373,           0.0076956,           0.0020205,           0.0099446,           0.0099446,           0.0099446
                  12,            0.029219,            0.024747,           0.0076581,             0.77139,             0.86116,              0.8772,             0.64607,             0.02306,            0.010232,            0.025678,            0.009933,            0.009933,            0.009933
                  13,            0.029011,            0.024764,           0.0075686,             0.91111,             0.89979,             0.91268,             0.68184,            0.019486,           0.0077948,            0.004152,           0.0099203,           0.0099203,           0.0099203
                  14,            0.029129,            0.024553,           0.0072537,             0.91966,             0.81822,             0.85595,             0.63745,            0.023775,           0.0072529,           0.0032178,           0.0099065,           0.0099065,           0.0099065
                  15,            0.027871,            0.024725,           0.0069393,             0.81014,              0.8087,             0.82821,             0.60924,            0.022991,           0.0081513,           0.0045623,           0.0098916,           0.0098916,           0.0098916
                  16,            0.028146,            0.023777,           0.0071719,             0.91488,             0.78921,             0.90508,             0.64205,            0.022625,           0.0081738,           0.0057002,           0.0098757,           0.0098757,           0.0098757
                  17,            0.027632,            0.023639,           0.0069844,             0.93324,              0.8617,             0.89409,             0.68597,            0.019159,            0.007814,           0.0026871,           0.0098586,           0.0098586,           0.0098586
                  18,            0.026986,            0.023661,           0.0068138,             0.93642,             0.79462,             0.88073,             0.67413,            0.024277,           0.0075307,           0.0089966,           0.0098405,           0.0098405,           0.0098405
                  19,            0.027387,            0.024108,           0.0067084,             0.90865,             0.84393,             0.90508,             0.67562,            0.024547,           0.0079616,           0.0016688,           0.0098213,           0.0098213,           0.0098213
                  20,            0.027024,            0.023713,            0.006568,             0.89121,             0.78951,             0.89308,             0.71951,            0.019193,           0.0085506,            0.002161,           0.0098011,           0.0098011,           0.0098011
                  21,            0.026351,            0.023463,           0.0066357,              0.8596,             0.82391,             0.92839,             0.75895,            0.015763,           0.0077099,           0.0022206,           0.0097798,           0.0097798,           0.0097798
