               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10538,            0.024075,                   0,             0.98011,               0.125,             0.15364,            0.023273,            0.075033,            0.014966,                   0,             0.00046,             0.00046,             0.09586
                   1,            0.081872,            0.020487,                   0,             0.28166,             0.58333,             0.33175,            0.061885,            0.058905,            0.011923,                   0,          0.00092991,          0.00092991,             0.09163
                   2,            0.067543,            0.019683,                   0,             0.79783,             0.58333,             0.64139,             0.14091,            0.049923,           0.0099418,                   0,           0.0013994,           0.0013994,            0.087399
                   3,            0.060115,            0.017435,                   0,             0.58441,             0.41667,             0.35559,             0.11286,            0.047839,           0.0083811,                   0,           0.0018683,           0.0018683,            0.083168
                   4,            0.058181,             0.01624,                   0,             0.81736,             0.58333,             0.68948,             0.25399,            0.043668,           0.0073693,                   0,           0.0023363,           0.0023363,            0.078936
                   5,            0.054904,            0.014479,                   0,             0.78884,             0.62276,             0.75175,             0.27706,            0.042852,           0.0068437,                   0,           0.0028031,           0.0028031,            0.074703
                   6,            0.052269,            0.013582,                   0,              0.8304,             0.83333,             0.87935,             0.23661,            0.043304,           0.0056135,                   0,           0.0032684,           0.0032684,            0.070468
                   7,            0.051605,            0.012278,                   0,             0.59253,             0.66667,             0.62102,             0.19935,            0.049767,             0.00577,                   0,           0.0037319,           0.0037319,            0.066232
                   8,            0.050763,            0.011923,                   0,             0.79987,             0.66667,                0.74,             0.32111,            0.042294,            0.005088,                   0,           0.0041934,           0.0041934,            0.061993
                   9,            0.049223,            0.011123,                   0,             0.80822,             0.70833,             0.76764,             0.31992,            0.045641,           0.0045756,                   0,           0.0046526,           0.0046526,            0.057753
                  10,            0.047497,            0.010867,                   0,             0.71158,                0.75,             0.63173,             0.25388,            0.042721,           0.0047559,                   0,           0.0051093,           0.0051093,            0.053509
                  11,              0.0498,            0.010467,                   0,             0.79962,             0.66667,             0.72016,             0.28343,            0.039149,           0.0048768,                   0,           0.0055631,           0.0055631,            0.049263
                  12,            0.046176,            0.010017,                   0,             0.61591,               0.875,             0.77762,             0.34417,            0.043955,              0.0043,                   0,           0.0060138,           0.0060138,            0.045014
                  13,            0.045748,            0.010126,                   0,             0.90464,             0.79056,             0.85058,             0.30972,            0.039437,           0.0044223,                   0,           0.0064611,           0.0064611,            0.040761
                  14,            0.043939,           0.0089363,                   0,             0.62434,             0.83333,             0.76535,             0.27442,            0.044114,           0.0043451,                   0,           0.0069048,           0.0069048,            0.036505
                  15,            0.043568,           0.0095309,                   0,             0.81689,                0.75,              0.8214,             0.36614,            0.040405,           0.0037876,                   0,           0.0073446,           0.0073446,            0.032245
                  16,            0.042788,           0.0081699,                   0,             0.94652,             0.79167,             0.85209,             0.38918,            0.038338,           0.0041267,                   0,           0.0077803,           0.0077803,             0.02798
