               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1033,            0.028042,                   0,            0.052754,             0.09335,            0.024254,            0.005353,            0.081714,            0.023522,                   0,             0.00071,             0.00071,             0.09361
                   1,            0.077178,            0.027435,                   0,             0.28102,             0.28389,             0.18056,            0.056141,            0.062994,            0.022721,                   0,           0.0014299,           0.0014299,             0.08713
                   2,            0.060919,            0.025736,                   0,             0.45995,             0.36189,             0.33677,             0.13134,            0.053318,            0.020135,                   0,           0.0021492,           0.0021492,            0.080649
                   3,            0.053466,            0.022816,                   0,             0.41642,             0.41304,             0.34403,             0.11351,            0.051962,            0.017372,                   0,           0.0028675,           0.0028675,            0.074167
                   4,            0.050278,            0.021358,                   0,              0.3726,             0.53964,             0.36399,             0.15178,            0.047336,            0.016539,                   0,           0.0035843,           0.0035843,            0.067684
                   5,             0.04855,            0.020916,                   0,             0.54656,             0.51023,             0.49649,             0.20634,             0.04595,            0.015344,                   0,           0.0042994,           0.0042994,            0.061199
                   6,            0.045555,            0.020259,                   0,             0.61152,             0.54731,             0.57187,              0.2255,            0.044961,            0.015173,                   0,           0.0050122,           0.0050122,            0.054712
                   7,             0.04596,            0.018414,                   0,             0.68845,             0.64962,             0.69951,             0.37383,            0.037625,            0.013828,                   0,           0.0057222,           0.0057222,            0.048222
                   8,             0.04547,            0.018291,                   0,              0.7221,             0.67122,             0.75086,             0.40973,             0.03568,            0.013802,                   0,           0.0064292,           0.0064292,            0.041729
                   9,            0.042262,            0.017403,                   0,             0.74806,             0.67263,             0.73874,             0.42963,            0.034185,            0.013911,                   0,           0.0071327,           0.0071327,            0.035233
                  10,            0.041457,            0.017493,                   0,             0.74005,             0.67263,             0.73653,             0.39414,            0.035385,            0.013843,                   0,           0.0078322,           0.0078322,            0.028732
                  11,            0.042006,             0.01677,                   0,             0.59602,             0.57673,             0.58058,             0.29887,            0.040513,            0.014919,                   0,           0.0085274,           0.0085274,            0.022227
                  12,             0.04232,            0.017338,                   0,             0.67538,             0.64194,             0.68087,              0.3552,            0.038428,            0.013398,                   0,           0.0092178,           0.0092178,            0.015718
                  13,            0.041951,            0.016813,                   0,             0.50986,             0.48721,             0.47869,             0.19689,            0.044459,            0.016313,                   0,           0.0098342,           0.0098342,           0.0098342
                  14,            0.042145,            0.016821,                   0,             0.65216,             0.58056,             0.59585,             0.31228,            0.041244,             0.01515,                   0,           0.0098342,           0.0098342,           0.0098342
                  15,            0.039132,            0.018391,                   0,             0.75938,             0.63763,             0.72663,             0.39127,            0.037227,            0.013458,                   0,           0.0098079,           0.0098079,           0.0098079
                  16,            0.039069,            0.017398,                   0,             0.72185,             0.72347,             0.76373,             0.41651,            0.036029,            0.013437,                   0,           0.0097798,           0.0097798,           0.0097798
                  17,            0.039405,             0.01658,                   0,             0.65497,             0.67391,              0.7019,             0.37692,            0.036511,            0.015537,                   0,           0.0097497,           0.0097497,           0.0097497
                  18,            0.037475,            0.016078,                   0,             0.66411,             0.65985,             0.67741,             0.38702,            0.037366,            0.013932,                   0,           0.0097178,           0.0097178,           0.0097178
