               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1159,            0.021538,                   0,             0.02017,            0.029412,           0.0016554,          0.00026237,            0.096682,             0.01511,                   0,             0.00045,             0.00045,             0.09595
                   1,            0.095962,            0.017136,                   0,            0.088564,             0.11765,             0.02226,            0.003574,            0.077114,             0.01234,                   0,          0.00090991,          0.00090991,             0.09181
                   2,            0.079478,            0.016674,                   0,             0.18213,             0.64706,             0.19556,            0.048564,            0.065124,            0.010876,                   0,           0.0013695,           0.0013695,            0.087669
                   3,            0.068119,            0.016371,                   0,             0.19142,             0.44118,             0.16495,            0.039093,            0.060472,           0.0098165,                   0,           0.0018284,           0.0018284,            0.083528
                   4,            0.062155,            0.015764,                   0,             0.47573,             0.58824,             0.42609,            0.082312,             0.05768,           0.0086775,                   0,           0.0022864,           0.0022864,            0.079386
                   5,            0.059456,            0.013536,                   0,             0.47238,             0.73529,             0.47841,             0.12826,            0.053625,           0.0081599,                   0,           0.0027432,           0.0027432,            0.075243
                   6,            0.056134,            0.013247,                   0,             0.39071,             0.58824,              0.3983,            0.095094,            0.059222,           0.0072197,                   0,           0.0031986,           0.0031986,            0.071099
                   7,            0.053946,            0.012093,                   0,             0.64691,             0.82353,             0.73143,             0.22763,            0.045546,           0.0076112,                   0,           0.0036523,           0.0036523,            0.066952
                   8,            0.052546,            0.012405,                   0,             0.71391,             0.73399,             0.74101,             0.22036,            0.048712,           0.0071077,                   0,            0.004104,            0.004104,            0.062804
                   9,            0.049716,            0.011013,                   0,              0.7756,             0.61765,             0.73718,             0.21811,             0.04926,           0.0064306,                   0,           0.0045534,           0.0045534,            0.058653
                  10,            0.051211,            0.010482,                   0,             0.75772,             0.64706,             0.70094,             0.23026,            0.054743,           0.0059936,                   0,           0.0050003,           0.0050003,              0.0545
                  11,            0.055374,            0.010169,                   0,             0.60971,             0.73529,             0.66754,             0.21981,             0.04602,           0.0067345,                   0,           0.0054445,           0.0054445,            0.050344
                  12,            0.050992,            0.010607,                   0,             0.74004,             0.67647,              0.6825,             0.17395,             0.05863,           0.0056574,                   0,           0.0058856,           0.0058856,            0.046186
                  13,            0.050094,            0.009759,                   0,             0.56462,             0.38146,             0.38529,             0.15723,            0.057595,           0.0067715,                   0,           0.0063234,           0.0063234,            0.042023
                  14,             0.04707,           0.0091315,                   0,             0.91983,             0.67498,             0.77119,             0.27357,            0.047754,           0.0055343,                   0,           0.0067577,           0.0067577,            0.037858
                  15,            0.047652,           0.0085762,                   0,             0.72411,             0.61755,             0.66743,             0.28171,            0.044746,           0.0055966,                   0,           0.0071881,           0.0071881,            0.033688
                  16,            0.045865,           0.0079071,                   0,              0.5948,             0.73529,             0.59242,             0.21105,            0.052601,           0.0050583,                   0,           0.0076145,           0.0076145,            0.029515
                  17,            0.049292,           0.0094558,                   0,              0.8693,             0.58691,             0.65895,             0.18409,            0.049462,           0.0057821,                   0,           0.0080366,           0.0080366,            0.025337
                  18,            0.046427,           0.0082821,                   0,             0.46562,             0.64706,             0.55051,             0.21407,            0.048852,           0.0060279,                   0,           0.0084541,           0.0084541,            0.021154
                  19,            0.050101,           0.0078877,                   0,             0.58272,             0.61765,             0.51494,             0.22358,             0.05426,            0.006309,                   0,           0.0088669,           0.0088669,            0.016967
                  20,            0.045763,           0.0084124,                   0,             0.78542,             0.64706,             0.64848,             0.28486,            0.052886,            0.004855,                   0,           0.0092746,           0.0092746,            0.012775
                  21,            0.046621,           0.0080432,                   0,             0.63465,             0.61765,             0.56077,             0.19021,            0.048808,           0.0060855,                   0,           0.0095717,           0.0095717,           0.0095717
                  22,            0.045711,           0.0079566,                   0,             0.74008,             0.58824,             0.66759,             0.27506,            0.047814,           0.0057368,                   0,           0.0095717,           0.0095717,           0.0095717
                  23,            0.048247,           0.0081681,                   0,             0.60556,             0.58824,             0.56866,             0.25179,            0.048588,           0.0059405,                   0,           0.0095307,           0.0095307,           0.0095307
                  24,            0.044945,           0.0080447,                   0,             0.94402,                 0.5,              0.6723,             0.31266,            0.045697,           0.0054057,                   0,           0.0094879,           0.0094879,           0.0094879
                  25,            0.043083,            0.007577,                   0,             0.94115,             0.47059,             0.61351,             0.31913,            0.048381,           0.0057809,                   0,           0.0094434,           0.0094434,           0.0094434
                  26,            0.042004,           0.0078192,                   0,             0.82506,             0.55882,             0.60822,             0.31324,            0.046714,            0.005578,                   0,           0.0093971,           0.0093971,           0.0093971
                  27,            0.041964,           0.0077714,                   0,             0.87492,             0.61719,             0.71849,             0.37986,            0.046835,           0.0050619,                   0,           0.0093491,           0.0093491,           0.0093491
                  28,            0.041725,           0.0075722,                   0,             0.80613,             0.73529,             0.71728,              0.3081,            0.046392,           0.0050495,                   0,           0.0092995,           0.0092995,           0.0092995
                  29,            0.041366,           0.0072951,                   0,             0.83991,             0.61726,              0.6803,              0.2603,            0.045234,           0.0058002,                   0,           0.0092481,           0.0092481,           0.0092481
                  30,            0.040063,            0.007331,                   0,             0.78502,             0.64706,             0.63555,             0.23847,             0.04746,           0.0060696,                   0,           0.0091952,           0.0091952,           0.0091952
                  31,            0.040706,           0.0073016,                   0,             0.78542,             0.64706,             0.63182,             0.28863,            0.050023,           0.0057334,                   0,           0.0091406,           0.0091406,           0.0091406
                  32,            0.039055,           0.0071987,                   0,             0.88317,             0.67647,             0.77444,             0.31283,            0.044884,           0.0053518,                   0,           0.0090844,           0.0090844,           0.0090844
                  33,            0.037779,           0.0065768,                   0,             0.71415,             0.58824,             0.60802,             0.25143,            0.053136,           0.0055436,                   0,           0.0090266,           0.0090266,           0.0090266
                  34,             0.03737,           0.0070567,                   0,             0.86955,             0.58815,              0.6911,             0.33548,            0.046693,           0.0051703,                   0,           0.0089673,           0.0089673,           0.0089673
                  35,            0.037902,           0.0066619,                   0,             0.81234,             0.76393,             0.74546,             0.33706,            0.047361,           0.0054894,                   0,           0.0089065,           0.0089065,           0.0089065
                  36,            0.035714,           0.0066059,                   0,              0.8076,             0.61765,             0.69357,             0.32609,            0.045592,           0.0056923,                   0,           0.0088442,           0.0088442,           0.0088442
                  37,             0.03617,            0.006668,                   0,             0.81437,             0.64706,             0.72403,             0.32951,            0.041773,           0.0054347,                   0,           0.0087804,           0.0087804,           0.0087804
                  38,            0.035854,            0.006555,                   0,             0.81346,             0.64706,             0.69457,             0.32296,            0.047892,           0.0053678,                   0,           0.0087151,           0.0087151,           0.0087151
                  39,             0.03502,           0.0064068,                   0,             0.90457,             0.55882,              0.6221,             0.26879,            0.050855,           0.0051299,                   0,           0.0086485,           0.0086485,           0.0086485
                  40,            0.035179,           0.0063483,                   0,             0.89285,             0.73523,             0.78483,             0.35457,            0.044522,           0.0053402,                   0,           0.0085805,           0.0085805,           0.0085805
                  41,            0.035556,           0.0061811,                   0,             0.95998,             0.70588,             0.72269,              0.3327,            0.042659,           0.0053053,                   0,           0.0085111,           0.0085111,           0.0085111
                  42,            0.034794,            0.006404,                   0,             0.92302,             0.70588,             0.71578,             0.32181,            0.041683,           0.0059328,                   0,           0.0084404,           0.0084404,           0.0084404
                  43,            0.033225,           0.0066182,                   0,             0.88461,             0.67641,             0.70164,             0.34143,            0.043172,           0.0055981,                   0,           0.0083684,           0.0083684,           0.0083684
                  44,            0.034807,           0.0059837,                   0,             0.88882,             0.70588,             0.71008,             0.33332,             0.04327,           0.0055901,                   0,           0.0082952,           0.0082952,           0.0082952
                  45,            0.032886,           0.0056909,                   0,             0.95651,             0.64689,             0.69797,             0.37859,            0.040142,           0.0064199,                   0,           0.0082207,           0.0082207,           0.0082207
                  46,            0.033057,           0.0061768,                   0,             0.96292,             0.76471,             0.75732,             0.35441,            0.046113,           0.0057576,                   0,            0.008145,            0.008145,            0.008145
                  47,            0.032796,           0.0057699,                   0,             0.81779,             0.52941,             0.59291,             0.25082,            0.047568,           0.0063993,                   0,           0.0080682,           0.0080682,           0.0080682
                  48,             0.03325,           0.0060315,                   0,                0.95,              0.5588,              0.6527,               0.349,            0.042978,           0.0054855,                   0,           0.0079903,           0.0079903,           0.0079903
                  49,            0.031356,            0.005884,                   0,             0.91664,             0.64706,             0.71051,              0.3489,            0.044753,           0.0055426,                   0,           0.0079112,           0.0079112,           0.0079112
