               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10405,            0.038143,                   0,            0.082469,             0.34286,            0.049604,           0.0079586,            0.096904,            0.021215,                   0,             0.00023,             0.00023,             0.09793
                   1,            0.090162,            0.035249,                   0,             0.17569,             0.37143,             0.10745,            0.018397,            0.090845,            0.017916,                   0,          0.00046999,          0.00046999,             0.09577
                   2,            0.083998,            0.034009,                   0,             0.11973,             0.31429,            0.064915,            0.011704,            0.089252,            0.016514,                   0,          0.00070993,          0.00070993,             0.09361
                   3,            0.078418,            0.033084,                   0,             0.07165,             0.28571,            0.037465,           0.0069912,            0.088794,            0.015713,                   0,          0.00094979,          0.00094979,             0.09145
                   4,            0.076337,            0.033909,                   0,            0.045734,             0.34286,            0.027913,           0.0048294,            0.085956,            0.015481,                   0,           0.0011895,           0.0011895,             0.08929
                   5,            0.076869,            0.037402,                   0,            0.067045,             0.34286,            0.036314,           0.0076667,            0.083558,            0.015616,                   0,           0.0014291,           0.0014291,            0.087129
                   6,            0.070654,            0.035556,                   0,             0.11061,             0.34286,            0.063799,            0.015402,            0.080182,            0.015748,                   0,           0.0016685,           0.0016685,            0.084969
                   7,            0.067494,            0.037251,                   0,             0.23628,             0.28571,             0.10753,            0.029262,            0.078079,              0.0158,                   0,           0.0019077,           0.0019077,            0.082808
                   8,            0.063216,            0.036257,                   0,             0.66317,             0.25714,             0.23675,            0.089436,            0.075494,            0.015983,                   0,           0.0021466,           0.0021466,            0.080647
                   9,            0.064087,              0.0373,                   0,             0.74605,             0.25218,             0.27242,            0.096322,            0.071378,            0.016399,                   0,           0.0023852,           0.0023852,            0.078485
                  10,            0.060233,             0.03668,                   0,             0.39521,             0.34286,             0.28578,            0.093955,            0.068064,            0.016354,                   0,           0.0026235,           0.0026235,            0.076324
                  11,            0.059096,            0.033518,                   0,             0.27045,                 0.4,             0.23416,            0.065866,            0.064893,             0.01602,                   0,           0.0028614,           0.0028614,            0.074161
                  12,            0.053434,            0.032801,                   0,             0.30568,             0.42857,             0.27419,            0.086876,            0.062514,              0.0155,                   0,            0.003099,            0.003099,            0.071999
                  13,            0.052518,            0.033411,                   0,             0.49847,             0.39765,             0.37686,             0.13844,            0.061078,            0.015052,                   0,           0.0033361,           0.0033361,            0.069836
                  14,            0.047344,            0.027888,                   0,             0.57083,             0.45607,             0.42375,             0.17505,            0.057776,            0.014877,                   0,           0.0035727,           0.0035727,            0.067673
                  15,            0.049583,            0.026875,                   0,             0.69509,             0.45714,              0.4652,               0.137,            0.056471,            0.014342,                   0,           0.0038088,           0.0038088,            0.065509
                  16,            0.046301,            0.028888,                   0,             0.56607,             0.48457,              0.4532,              0.1828,             0.05523,            0.014017,                   0,           0.0040444,           0.0040444,            0.063344
                  17,             0.04808,            0.026375,                   0,             0.56227,             0.51383,              0.4375,             0.12809,            0.055245,            0.013891,                   0,           0.0042793,           0.0042793,            0.061179
                  18,            0.044636,            0.025812,                   0,              0.5381,             0.59916,             0.49681,             0.22715,            0.055888,            0.013211,                   0,           0.0045137,           0.0045137,            0.059014
                  19,            0.046696,            0.027943,                   0,             0.54701,             0.62857,             0.51063,             0.23273,            0.055104,            0.012764,                   0,           0.0047475,           0.0047475,            0.056847
                  20,            0.043142,            0.025184,                   0,              0.4679,             0.62857,             0.48414,             0.16117,             0.05603,            0.012432,                   0,           0.0049805,           0.0049805,            0.054681
                  21,            0.043449,            0.023685,                   0,             0.66562,             0.62857,              0.6115,             0.28117,            0.054194,            0.012501,                   0,           0.0052129,           0.0052129,            0.052513
                  22,            0.041262,            0.023444,                   0,             0.79978,             0.68482,              0.7179,             0.30483,            0.055172,            0.011763,                   0,           0.0054445,           0.0054445,            0.050344
                  23,            0.039195,            0.022668,                   0,             0.77396,             0.68484,             0.68211,              0.3271,            0.054135,            0.011573,                   0,           0.0056753,           0.0056753,            0.048175
                  24,            0.040081,            0.023174,                   0,             0.77652,                 0.6,             0.68201,             0.30525,            0.054144,            0.011258,                   0,           0.0059053,           0.0059053,            0.046005
                  25,            0.040979,            0.021925,                   0,             0.67397,             0.70888,             0.71176,             0.32664,            0.051676,            0.011754,                   0,           0.0061345,           0.0061345,            0.043834
                  26,            0.037292,            0.023128,                   0,             0.64628,             0.62857,             0.66463,             0.30004,            0.052066,            0.011567,                   0,           0.0063627,           0.0063627,            0.041663
                  27,            0.039438,            0.021758,                   0,             0.83328,             0.57122,             0.70587,             0.33239,            0.051239,            0.011273,                   0,           0.0065901,           0.0065901,             0.03949
                  28,            0.036885,            0.021634,                   0,             0.95824,             0.65564,             0.78112,             0.38097,            0.050732,            0.010606,                   0,           0.0068165,           0.0068165,            0.037317
                  29,            0.035346,            0.020888,                   0,             0.91596,             0.62857,             0.72819,             0.36206,            0.048997,            0.011053,                   0,           0.0070419,           0.0070419,            0.035142
                  30,            0.037625,            0.021006,                   0,             0.79829,             0.68571,             0.70223,             0.30545,            0.050204,            0.010966,                   0,           0.0072664,           0.0072664,            0.032966
                  31,            0.035157,            0.020018,                   0,              0.8571,             0.68549,              0.7681,             0.40117,            0.047918,            0.010887,                   0,           0.0074897,           0.0074897,             0.03079
                  32,            0.034008,            0.020654,                   0,             0.75675,             0.71429,             0.72799,                0.38,            0.054512,            0.011203,                   0,            0.007712,            0.007712,            0.028612
                  33,            0.034596,            0.019656,                   0,             0.82122,             0.65714,             0.74532,             0.37336,            0.051676,            0.011546,                   0,           0.0079332,           0.0079332,            0.026433
