               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11177,            0.053774,            0.028641,          0.00017434,            0.021739,          8.5245e-05,          1.7049e-05,             0.10755,            0.042896,            0.027822,             0.00023,             0.00023,             0.09793
                   1,             0.10616,              0.0465,             0.02746,          0.00036111,            0.027837,           0.0001758,          4.1184e-05,             0.10298,            0.040579,            0.026501,          0.00046999,          0.00046999,             0.09577
                   2,             0.10233,            0.048978,            0.026641,          0.00085022,            0.061771,           0.0004637,          9.2515e-05,             0.10046,            0.040526,            0.025256,          0.00070993,          0.00070993,             0.09361
                   3,            0.099908,            0.050725,            0.025845,           0.0014071,            0.086161,          0.00078986,          0.00014924,            0.098263,            0.041074,            0.024266,          0.00094979,          0.00094979,             0.09145
                   4,            0.096528,            0.047181,            0.025021,           0.0019056,             0.02439,           0.0010355,          0.00024803,            0.095722,            0.042118,            0.023364,           0.0011895,           0.0011895,             0.08929
                   5,            0.095786,            0.050686,            0.024568,           0.0036516,            0.036585,           0.0020983,          0.00041692,            0.093795,            0.042816,            0.022624,           0.0014291,           0.0014291,            0.087129
                   6,            0.092799,             0.04975,            0.023838,           0.0054163,             0.17842,           0.0042343,           0.0006422,            0.091063,            0.044027,            0.021965,           0.0016685,           0.0016685,            0.084969
                   7,            0.091307,             0.05313,            0.024153,            0.025932,             0.02439,           0.0083007,           0.0015327,            0.089066,            0.044715,            0.021524,           0.0019077,           0.0019077,            0.082808
                   8,             0.08877,            0.055774,            0.023555,            0.017535,             0.26458,            0.013062,           0.0027086,            0.086335,            0.045579,            0.021004,           0.0021466,           0.0021466,            0.080647
                   9,            0.086263,            0.052526,            0.022173,            0.050715,             0.15668,            0.022543,           0.0076245,            0.083258,            0.046534,            0.020381,           0.0023852,           0.0023852,            0.078485
                  10,            0.083368,            0.050243,            0.022672,             0.12166,             0.11665,            0.050711,            0.023747,            0.079551,            0.047632,             0.01992,           0.0026235,           0.0026235,            0.076324
                  11,            0.080608,            0.053821,            0.022311,             0.39586,            0.078979,            0.068743,             0.02909,            0.076577,             0.04796,            0.019519,           0.0028614,           0.0028614,            0.074161
                  12,            0.076775,            0.054752,            0.022175,             0.24315,            0.090987,            0.067462,            0.032132,            0.073538,            0.047917,             0.01922,            0.003099,            0.003099,            0.071999
                  13,            0.073767,            0.055576,            0.022195,             0.17882,             0.16013,            0.084338,            0.033755,             0.07102,             0.04714,            0.018923,           0.0033361,           0.0033361,            0.069836
                  14,            0.072173,            0.054858,            0.022103,             0.15959,             0.19406,            0.092115,            0.039505,            0.068208,            0.046124,            0.018375,           0.0035727,           0.0035727,            0.067673
                  15,            0.069977,             0.05199,            0.021321,             0.18748,             0.19406,             0.11849,            0.053397,            0.065298,            0.044658,            0.017906,           0.0038088,           0.0038088,            0.065509
                  16,            0.066717,            0.050391,             0.02109,             0.22395,             0.22375,             0.14137,            0.056703,            0.063013,             0.04328,            0.017465,           0.0040444,           0.0040444,            0.063344
                  17,            0.065291,            0.048879,            0.021049,             0.29548,             0.19844,             0.14862,            0.059401,            0.062032,             0.04259,             0.01735,           0.0042793,           0.0042793,            0.061179
                  18,            0.065118,            0.047014,            0.020505,             0.32399,             0.19327,             0.15863,            0.067072,            0.060537,            0.040951,            0.016718,           0.0045137,           0.0045137,            0.059014
                  19,            0.061847,            0.045258,            0.019588,             0.32416,             0.20673,             0.17341,            0.063533,            0.059294,            0.039939,            0.016547,           0.0047475,           0.0047475,            0.056847
                  20,            0.062233,            0.046789,            0.018936,               0.179,             0.37778,             0.14966,            0.057327,            0.061925,            0.039792,            0.015358,           0.0049805,           0.0049805,            0.054681
                  21,            0.066196,            0.040982,            0.018909,              0.3935,             0.24549,             0.20988,            0.087835,            0.059053,            0.039043,            0.015271,           0.0052129,           0.0052129,            0.052513
                  22,            0.062626,            0.043867,            0.017944,              0.4374,             0.25208,             0.22613,            0.090731,            0.058963,            0.038694,            0.014394,           0.0054445,           0.0054445,            0.050344
