               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075793,            0.059554,            0.035641,             0.50442,             0.45028,             0.45805,             0.19637,            0.052503,            0.031292,            0.022727,               0.003,               0.003,               0.073
                   1,            0.057476,            0.048843,            0.017228,             0.50261,             0.70083,             0.59265,             0.26853,            0.047304,            0.029112,            0.015974,           0.0060097,           0.0060097,             0.04591
                   2,            0.051786,            0.049031,            0.013026,             0.67858,             0.70554,             0.69593,             0.37339,            0.042993,            0.030987,           0.0098586,            0.009018,            0.009018,            0.018818
                   3,            0.048787,            0.050646,            0.012368,             0.66692,             0.75692,             0.73791,             0.43493,            0.038853,            0.031185,           0.0096446,            0.009995,            0.009995,            0.009995
                   4,            0.044714,            0.050717,            0.011231,             0.79078,              0.6823,             0.79835,              0.4335,            0.037158,            0.031001,           0.0088557,            0.009995,            0.009995,            0.009995
                   5,            0.043206,            0.050162,            0.010301,             0.77965,             0.86675,             0.87377,             0.52295,            0.033728,            0.028147,           0.0070682,           0.0099911,           0.0099911,           0.0099911
                   6,            0.041175,            0.049611,            0.010085,             0.82228,             0.76704,             0.80215,             0.50674,            0.033463,            0.028201,            0.008071,           0.0099861,           0.0099861,           0.0099861
                   7,            0.040055,             0.04809,           0.0092492,              0.7925,             0.83229,             0.83155,             0.52539,            0.033108,            0.028287,           0.0071356,             0.00998,             0.00998,             0.00998
                   8,            0.039873,            0.047393,           0.0094536,             0.86675,             0.83719,             0.87813,             0.54402,            0.032905,            0.026782,           0.0062879,           0.0099728,           0.0099728,           0.0099728
                   9,            0.039304,            0.046915,           0.0088899,             0.87819,             0.85409,             0.90018,             0.58446,            0.031206,            0.026622,           0.0063639,           0.0099645,           0.0099645,           0.0099645
                  10,            0.038891,            0.046762,           0.0087888,              0.8989,              0.8222,             0.90453,             0.57986,            0.032055,            0.026982,           0.0071925,           0.0099551,           0.0099551,           0.0099551
                  11,            0.038369,            0.046375,           0.0086931,             0.83445,             0.80771,             0.88354,             0.56932,             0.03161,            0.025951,           0.0059446,           0.0099446,           0.0099446,           0.0099446
                  12,            0.037765,            0.046291,           0.0082001,             0.85737,             0.87655,             0.92141,             0.59703,            0.030363,            0.025324,           0.0058662,            0.009933,            0.009933,            0.009933
                  13,            0.037672,            0.046027,           0.0079043,             0.95347,             0.81151,             0.93211,             0.57188,            0.029949,            0.026023,           0.0053935,           0.0099203,           0.0099203,           0.0099203
                  14,            0.036874,            0.046086,           0.0078462,             0.93906,             0.88238,             0.92672,             0.60262,            0.030291,            0.025027,           0.0046874,           0.0099065,           0.0099065,           0.0099065
                  15,            0.036671,            0.045348,           0.0076332,             0.90663,             0.86871,              0.8951,             0.58083,            0.030394,            0.024691,           0.0047266,           0.0098916,           0.0098916,           0.0098916
                  16,            0.036347,            0.045206,           0.0075017,             0.94087,             0.87023,             0.92337,             0.59097,            0.030078,             0.02535,           0.0052644,           0.0098757,           0.0098757,           0.0098757
                  17,            0.036371,            0.044865,           0.0073637,              0.9359,             0.86814,             0.94624,             0.61309,            0.029333,            0.025327,           0.0049755,           0.0098586,           0.0098586,           0.0098586
                  18,            0.036219,            0.043745,           0.0073984,             0.90758,             0.87727,              0.9198,             0.62689,            0.029479,            0.024861,           0.0054733,           0.0098405,           0.0098405,           0.0098405
                  19,            0.036055,            0.044345,           0.0073611,             0.86249,             0.93096,              0.9553,             0.62695,            0.028992,            0.024297,           0.0042797,           0.0098213,           0.0098213,           0.0098213
                  20,            0.035819,            0.044785,           0.0073499,             0.89103,             0.92787,             0.96763,             0.63989,            0.029164,            0.023854,           0.0041229,           0.0098011,           0.0098011,           0.0098011
                  21,            0.035667,            0.044361,           0.0069452,             0.94231,             0.86769,             0.94081,              0.6109,            0.028718,            0.024015,           0.0056442,           0.0097798,           0.0097798,           0.0097798
                  22,            0.035282,            0.043545,           0.0073087,             0.92595,             0.89825,             0.93266,             0.62733,            0.028936,            0.023835,           0.0049333,           0.0097574,           0.0097574,           0.0097574
                  23,            0.035153,            0.044158,            0.006876,             0.90827,             0.88634,             0.93118,             0.61235,            0.028953,            0.024107,           0.0046083,            0.009734,            0.009734,            0.009734
                  24,            0.034877,            0.043598,           0.0068692,             0.86117,             0.96025,             0.94533,             0.62566,             0.02869,            0.024155,           0.0044461,           0.0097095,           0.0097095,           0.0097095
                  25,            0.034947,            0.043478,           0.0065521,             0.90038,             0.84668,             0.93796,             0.64845,            0.029222,            0.023497,           0.0041795,            0.009684,            0.009684,            0.009684
                  26,            0.034449,            0.043796,           0.0070287,             0.92944,             0.88865,             0.95107,             0.65841,            0.027871,            0.023431,           0.0037788,           0.0096575,           0.0096575,           0.0096575
                  27,            0.034478,            0.043178,           0.0067119,             0.88291,             0.90209,             0.93334,             0.62716,            0.028149,            0.023016,           0.0043733,           0.0096299,           0.0096299,           0.0096299
                  28,            0.034394,            0.043136,           0.0067308,             0.90402,             0.91026,             0.95488,             0.64558,            0.028293,             0.02298,           0.0038386,           0.0096013,           0.0096013,           0.0096013
                  29,            0.033874,            0.042907,           0.0063774,             0.93412,             0.94444,              0.9746,             0.64214,            0.028171,            0.022851,           0.0046789,           0.0095717,           0.0095717,           0.0095717
                  30,            0.034113,            0.042467,           0.0065421,             0.94617,             0.88661,             0.93297,             0.64365,            0.027704,            0.023043,           0.0037885,           0.0095411,           0.0095411,           0.0095411
                  31,            0.033985,            0.042589,           0.0063275,             0.92394,             0.90431,               0.938,             0.65184,            0.027464,            0.022727,           0.0033744,           0.0095095,           0.0095095,           0.0095095
                  32,            0.034204,            0.042229,           0.0063513,             0.87046,             0.95763,             0.95624,             0.63916,            0.027248,             0.02301,           0.0037698,           0.0094769,           0.0094769,           0.0094769
                  33,            0.033791,            0.041902,           0.0063928,             0.92066,             0.89367,             0.95636,              0.6413,            0.027423,            0.022872,           0.0036926,           0.0094434,           0.0094434,           0.0094434
                  34,            0.033782,            0.041965,           0.0061374,             0.86831,             0.96537,             0.96683,             0.64181,            0.028172,            0.022483,           0.0033164,           0.0094088,           0.0094088,           0.0094088
                  35,             0.03324,            0.041462,           0.0062312,             0.93084,             0.90058,             0.95317,             0.66299,            0.027808,            0.022326,           0.0030743,           0.0093733,           0.0093733,           0.0093733
                  36,            0.033207,            0.041049,           0.0059642,             0.94459,             0.90859,             0.95799,             0.66662,            0.027753,            0.022683,           0.0028946,           0.0093369,           0.0093369,           0.0093369
                  37,            0.033497,            0.041786,           0.0058681,             0.94643,             0.96556,               0.981,             0.67429,            0.026882,            0.022251,            0.003046,           0.0092995,           0.0092995,           0.0092995
                  38,            0.033367,             0.04167,           0.0060729,             0.90575,             0.96455,             0.97149,             0.68647,            0.026789,            0.022251,           0.0033948,           0.0092611,           0.0092611,           0.0092611
                  39,            0.032892,            0.041018,           0.0057894,             0.92292,             0.90554,             0.97038,             0.65568,              0.0269,            0.021785,           0.0027392,           0.0092219,           0.0092219,           0.0092219
                  40,            0.033069,            0.041235,           0.0058705,              0.9079,             0.96816,             0.97397,             0.67869,            0.026701,            0.021993,           0.0026553,           0.0091817,           0.0091817,           0.0091817
                  41,            0.032929,            0.041435,           0.0056429,             0.95808,             0.95517,             0.98116,             0.69638,            0.026409,            0.021568,           0.0025099,           0.0091406,           0.0091406,           0.0091406
                  42,            0.032884,            0.041772,           0.0058776,             0.94583,             0.95372,             0.98071,             0.68667,            0.026262,            0.020834,           0.0030499,           0.0090986,           0.0090986,           0.0090986
                  43,            0.032494,            0.040973,           0.0057693,             0.89064,              0.9771,             0.97539,             0.67151,            0.026224,            0.021373,           0.0026323,           0.0090557,           0.0090557,           0.0090557
                  44,            0.032367,            0.041119,           0.0057396,             0.93508,             0.91994,             0.97404,             0.70168,             0.02619,            0.021333,           0.0022653,           0.0090119,           0.0090119,           0.0090119
                  45,            0.032663,            0.040877,           0.0055348,             0.88947,             0.98614,             0.97913,             0.67344,            0.026377,             0.02112,           0.0023458,           0.0089673,           0.0089673,           0.0089673
                  46,            0.032036,            0.040299,           0.0055431,             0.94779,             0.97248,             0.98467,             0.69884,            0.025876,            0.021253,           0.0023527,           0.0089218,           0.0089218,           0.0089218
                  47,             0.03217,            0.039148,           0.0055035,             0.95271,             0.97726,             0.98501,             0.69266,            0.026015,            0.021255,           0.0022316,           0.0088755,           0.0088755,           0.0088755
                  48,            0.032039,            0.040423,           0.0051672,              0.9603,             0.94612,             0.98192,             0.68046,            0.026418,            0.021378,           0.0024315,           0.0088283,           0.0088283,           0.0088283
                  49,            0.032437,            0.040241,            0.005442,             0.96567,             0.95733,             0.98428,             0.67345,             0.02565,            0.021064,            0.002102,           0.0087804,           0.0087804,           0.0087804
                  50,            0.031891,            0.040279,           0.0054013,             0.96089,             0.95532,             0.98495,             0.69176,             0.02574,            0.020723,           0.0021253,           0.0087316,           0.0087316,           0.0087316
                  51,            0.031964,            0.039995,           0.0053867,             0.97044,             0.95171,             0.98388,             0.70134,            0.025736,            0.020873,           0.0023416,            0.008682,            0.008682,            0.008682
                  52,            0.031812,            0.039572,            0.005314,             0.96577,             0.96631,             0.98498,             0.68721,            0.026297,            0.020724,           0.0022662,           0.0086316,           0.0086316,           0.0086316
                  53,            0.031798,            0.040048,           0.0051269,             0.95471,             0.97092,             0.98572,             0.70562,            0.025302,            0.020638,           0.0022194,           0.0085805,           0.0085805,           0.0085805
                  54,            0.031707,            0.039058,           0.0052913,             0.94837,             0.92148,             0.96328,             0.69437,            0.025602,            0.021049,           0.0022149,           0.0085286,           0.0085286,           0.0085286
                  55,            0.031796,            0.039597,           0.0054137,             0.87441,             0.97005,             0.97412,             0.71485,            0.025028,            0.020682,           0.0020348,           0.0084759,           0.0084759,           0.0084759
