               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10354,            0.044321,            0.039326,           0.0028785,            0.036364,            0.001514,          0.00041168,             0.10177,            0.040419,            0.038397,             0.00022,             0.00022,             0.09802
                   1,            0.095374,            0.046091,            0.037508,           0.0061111,                 0.1,           0.0036901,          0.00089712,            0.097491,            0.040045,              0.0367,          0.00044999,          0.00044999,             0.09595
                   2,            0.089233,            0.041324,            0.035295,            0.042968,            0.036364,            0.011815,           0.0026085,            0.094278,            0.039924,            0.035176,          0.00067993,          0.00067993,             0.09388
                   3,            0.083641,            0.048072,            0.034937,            0.051187,             0.19314,            0.035207,           0.0068669,            0.090846,            0.040404,             0.03387,           0.0009098,           0.0009098,             0.09181
                   4,            0.080585,            0.049619,            0.033388,             0.10412,             0.16364,            0.063774,             0.01149,            0.086554,             0.04143,            0.032653,           0.0011396,           0.0011396,             0.08974
                   5,             0.07648,            0.045569,            0.032765,             0.16732,             0.24657,            0.097692,            0.022454,            0.082245,            0.042411,            0.031752,           0.0013692,           0.0013692,            0.087669
                   6,            0.074011,            0.054109,               0.031,             0.22389,             0.26563,             0.11781,            0.032761,            0.078492,            0.042813,            0.030983,           0.0015986,           0.0015986,            0.085599
                   7,            0.071402,            0.049978,            0.030179,             0.71038,             0.19091,             0.15635,            0.050991,            0.075877,            0.042666,            0.030406,           0.0018278,           0.0018278,            0.083528
                   8,            0.066818,            0.049698,            0.030127,             0.28879,             0.28516,             0.18449,            0.072852,            0.073269,            0.042067,            0.029737,           0.0020567,           0.0020567,            0.081457
                   9,            0.064051,            0.047889,            0.029814,             0.33451,             0.28407,             0.20006,            0.085948,            0.070863,            0.041317,            0.029062,           0.0022854,           0.0022854,            0.079385
                  10,            0.063187,            0.048386,            0.029529,             0.41314,             0.27495,             0.22632,            0.094562,            0.068865,            0.040335,            0.028492,           0.0025138,           0.0025138,            0.077314
                  11,            0.060564,            0.046899,            0.028065,             0.84267,             0.21782,             0.25678,             0.11918,            0.066116,            0.039501,            0.028024,           0.0027418,           0.0027418,            0.075242
                  12,            0.056743,            0.041797,            0.028323,             0.89025,                 0.2,             0.27982,             0.13609,            0.064069,            0.038484,            0.027544,           0.0029694,           0.0029694,            0.073169
                  13,            0.057139,            0.043137,            0.026332,             0.92571,             0.20909,             0.29543,             0.15341,            0.061865,            0.037352,            0.027012,           0.0031966,           0.0031966,            0.071097
                  14,            0.053789,            0.041072,            0.027788,             0.25318,              0.3788,             0.31563,             0.15428,            0.059732,            0.036374,            0.026126,           0.0034234,           0.0034234,            0.069023
                  15,            0.053785,            0.042823,            0.026595,             0.36532,             0.30143,             0.33453,             0.16003,             0.05945,            0.035004,            0.025709,           0.0036497,           0.0036497,             0.06695
                  16,            0.052674,            0.040331,            0.026558,             0.32011,             0.38675,             0.35744,              0.1845,            0.056894,            0.034297,            0.024413,           0.0038754,           0.0038754,            0.064875
                  17,            0.051803,             0.04051,            0.026296,             0.32874,             0.38421,             0.36659,             0.17711,            0.056543,             0.03339,            0.023866,           0.0041006,           0.0041006,            0.062801
                  18,             0.04986,            0.037647,            0.026686,             0.60571,             0.36586,             0.41513,             0.20196,            0.054613,            0.032795,            0.023738,           0.0043252,           0.0043252,            0.060725
                  19,             0.04876,            0.035927,            0.025469,             0.33487,              0.5165,             0.43042,              0.2054,            0.055086,            0.032201,            0.023066,           0.0045493,           0.0045493,            0.058649
                  20,            0.049772,             0.03715,            0.024511,             0.43487,             0.49869,             0.45878,              0.2233,            0.052366,            0.031895,            0.022535,           0.0047726,           0.0047726,            0.056573
                  21,            0.049627,            0.039108,            0.025696,             0.30646,             0.63933,             0.45861,             0.17551,            0.054769,            0.031642,             0.02094,           0.0049953,           0.0049953,            0.054495
                  22,            0.050374,            0.034171,            0.024773,             0.38052,             0.57811,             0.49945,             0.25421,            0.051645,            0.031548,            0.020547,           0.0052172,           0.0052172,            0.052417
                  23,             0.05036,            0.037423,            0.024236,             0.44459,             0.55705,             0.50975,             0.25915,            0.051611,            0.031108,            0.020115,           0.0054384,           0.0054384,            0.050338
                  24,            0.049486,            0.038661,            0.023666,             0.33522,             0.62913,             0.49742,             0.19083,            0.054779,            0.030427,            0.019061,           0.0056589,           0.0056589,            0.048259
                  25,            0.049182,            0.036924,            0.023603,             0.45085,             0.59238,             0.52396,             0.23889,            0.053695,            0.030503,            0.018429,           0.0058785,           0.0058785,            0.046178
                  26,            0.047721,            0.038956,             0.02181,             0.53428,             0.60983,             0.58574,             0.27603,            0.048849,            0.030407,            0.017613,           0.0060972,           0.0060972,            0.044097
                  27,            0.046955,            0.032543,            0.022563,             0.51861,             0.58872,              0.5716,              0.2632,            0.052298,            0.029887,            0.017317,           0.0063151,           0.0063151,            0.042015
                  28,            0.045522,             0.03512,            0.022708,             0.54776,             0.61892,             0.57416,             0.25462,            0.050584,            0.030191,            0.015995,           0.0065321,           0.0065321,            0.039932
                  29,            0.044153,            0.032833,            0.020752,             0.65561,              0.5862,             0.62287,             0.29253,            0.047955,            0.030313,            0.015183,           0.0067481,           0.0067481,            0.037848
                  30,            0.044806,            0.031641,            0.021463,              0.6684,             0.58301,             0.61497,             0.29877,             0.04897,            0.029295,            0.014825,           0.0069632,           0.0069632,            0.035763
                  31,              0.0456,            0.035623,            0.020091,             0.44774,              0.6526,             0.53794,             0.23559,            0.052561,            0.029032,            0.014603,           0.0071772,           0.0071772,            0.033677
                  32,            0.046276,            0.037216,            0.021432,             0.42731,             0.68237,             0.55719,              0.2436,            0.051436,            0.030268,             0.01334,           0.0073903,           0.0073903,             0.03159
                  33,            0.044446,            0.032455,            0.020423,             0.54305,             0.69258,             0.58902,              0.2579,            0.052202,             0.03033,            0.012515,           0.0076022,           0.0076022,            0.029502
                  34,            0.043613,            0.032059,            0.019793,             0.67351,             0.59566,             0.61588,             0.27049,            0.048379,             0.02965,            0.012339,           0.0078131,           0.0078131,            0.027413
                  35,            0.043573,            0.032516,            0.018679,             0.72334,             0.56438,             0.64322,             0.30624,            0.048039,            0.029699,             0.01092,           0.0080228,           0.0080228,            0.025323
                  36,            0.046048,            0.034854,             0.01878,             0.52112,              0.6846,             0.62768,             0.27637,             0.05071,            0.029698,            0.010129,           0.0082314,           0.0082314,            0.023231
                  37,            0.043952,            0.034385,            0.017653,             0.58238,             0.67106,              0.6217,             0.26946,            0.048765,            0.029273,            0.010227,           0.0084388,           0.0084388,            0.021139
                  38,            0.044106,            0.033309,            0.017972,             0.67346,             0.59394,             0.63743,             0.30193,             0.04897,             0.02954,            0.009888,            0.008645,            0.008645,            0.019045
                  39,            0.044361,            0.035555,            0.017001,             0.56108,             0.62922,             0.59073,             0.25201,            0.049217,            0.029015,           0.0096357,           0.0088499,           0.0088499,             0.01695
                  40,             0.04311,            0.031899,            0.015641,             0.78395,             0.50817,             0.58427,             0.24783,             0.05179,            0.029399,           0.0084791,           0.0090535,           0.0090535,            0.014854
                  41,             0.04476,             0.03098,            0.016019,             0.65139,             0.62302,             0.64786,             0.28832,            0.046673,            0.030381,           0.0079111,           0.0092559,           0.0092559,            0.012756
                  42,            0.043179,            0.032605,            0.015444,             0.63952,             0.62672,             0.63911,             0.31241,            0.049298,            0.031307,           0.0074903,           0.0094569,           0.0094569,            0.010657
                  43,            0.045441,            0.030838,            0.014355,             0.62383,             0.63692,             0.62224,             0.27933,            0.048096,            0.031466,           0.0077311,           0.0095514,           0.0095514,           0.0095514
                  44,            0.043031,            0.031675,            0.012579,             0.64608,             0.64601,              0.6315,             0.31687,            0.048406,            0.031758,           0.0072816,           0.0095514,           0.0095514,           0.0095514
                  45,            0.042347,            0.032518,             0.01224,             0.61245,             0.63803,             0.61779,             0.32257,            0.047132,            0.030975,           0.0073757,           0.0095307,           0.0095307,           0.0095307
                  46,            0.041316,            0.030384,            0.012467,             0.77067,             0.53024,             0.62383,             0.29259,            0.049423,            0.030396,           0.0072381,           0.0095095,           0.0095095,           0.0095095
                  47,            0.041986,            0.030548,            0.012668,             0.72839,             0.63803,             0.67912,             0.35978,            0.046163,            0.029711,           0.0074949,           0.0094879,           0.0094879,           0.0094879
                  48,            0.039114,            0.031117,            0.013646,             0.70677,             0.60742,             0.66858,             0.33218,            0.048649,            0.030319,           0.0073114,           0.0094659,           0.0094659,           0.0094659
                  49,             0.04148,            0.030146,            0.011095,             0.66674,               0.687,             0.69931,             0.31829,            0.047895,            0.029722,           0.0068242,           0.0094434,           0.0094434,           0.0094434
                  50,            0.039086,            0.029369,            0.010946,             0.69352,             0.70846,              0.7178,             0.35625,            0.045435,            0.030425,           0.0073612,           0.0094205,           0.0094205,           0.0094205
                  51,            0.037703,            0.028931,            0.010911,             0.68135,             0.64683,             0.64412,             0.33312,            0.048231,            0.030738,           0.0068487,           0.0093971,           0.0093971,           0.0093971
                  52,            0.039582,            0.032859,            0.011218,             0.63067,             0.53822,             0.59318,             0.27163,            0.050802,            0.030374,           0.0072087,           0.0093733,           0.0093733,           0.0093733
