               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075145,             0.02798,                   0,             0.17809,                 0.5,             0.14945,            0.045387,            0.047044,            0.016562,                   0,             0.00048,             0.00048,             0.09568
                   1,            0.054386,            0.024543,                   0,             0.64805,             0.85496,             0.80059,             0.42117,            0.026685,            0.011861,                   0,           0.0009699,           0.0009699,             0.09127
                   2,            0.041612,            0.020126,                   0,             0.79951,             0.85714,             0.85932,             0.45433,            0.021593,           0.0081014,                   0,           0.0014594,           0.0014594,            0.086859
                   3,            0.036559,            0.017123,                   0,             0.57448,             0.81972,             0.70492,             0.48362,            0.031979,           0.0061715,                   0,           0.0019483,           0.0019483,            0.082448
                   4,            0.036673,            0.016831,                   0,             0.82753,             0.85681,             0.86332,              0.5474,            0.025049,           0.0065007,                   0,           0.0024361,           0.0024361,            0.078036
                   5,            0.032277,            0.014996,                   0,                   1,             0.99996,               0.995,             0.69038,            0.017766,           0.0047215,                   0,           0.0029228,           0.0029228,            0.073623
                   6,            0.032025,            0.014248,                   0,                   1,              0.9641,               0.989,             0.70273,            0.014824,           0.0043236,                   0,           0.0034079,           0.0034079,            0.069208
                   7,            0.030741,            0.013603,                   0,             0.90322,             0.99998,             0.95005,             0.75355,            0.015779,           0.0039495,                   0,           0.0038911,           0.0038911,            0.064791
                   8,            0.028914,            0.013122,                   0,             0.93305,                   1,             0.98514,             0.80398,            0.013717,           0.0037002,                   0,           0.0043723,           0.0043723,            0.060372
                   9,            0.026655,            0.013124,                   0,             0.92857,             0.92855,             0.91715,             0.50477,            0.019121,           0.0052289,                   0,            0.004851,            0.004851,            0.055951
                  10,            0.029692,            0.012435,                   0,             0.83857,             0.92764,             0.88318,             0.52675,            0.019409,           0.0031716,                   0,           0.0053271,           0.0053271,            0.051527
                  11,            0.026866,            0.012782,                   0,             0.88875,             0.85714,             0.94627,             0.61898,            0.015042,           0.0045278,                   0,           0.0058002,           0.0058002,              0.0471
                  12,            0.027725,            0.012461,                   0,             0.93332,             0.99987,             0.97848,             0.71431,            0.020136,           0.0035926,                   0,           0.0062701,           0.0062701,             0.04267
