               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071557,            0.025013,                   0,             0.53662,             0.54545,             0.48449,             0.16798,            0.039317,            0.012587,                   0,             0.00088,             0.00088,             0.09208
                   1,            0.041728,             0.01852,                   0,             0.43084,             0.80303,             0.53323,             0.22247,            0.027652,           0.0084259,                   0,           0.0017699,           0.0017699,             0.08407
                   2,            0.037767,            0.015453,                   0,             0.82256,             0.77261,             0.85811,             0.38036,            0.025118,           0.0072684,                   0,           0.0026594,           0.0026594,            0.076059
                   3,            0.032919,            0.014389,                   0,             0.59803,             0.92421,             0.77672,             0.43376,            0.019288,           0.0066889,                   0,           0.0035482,           0.0035482,            0.068048
                   4,            0.032757,            0.013494,                   0,             0.78849,             0.84728,              0.8308,              0.4892,            0.020629,           0.0062399,                   0,           0.0044361,           0.0044361,            0.060036
                   5,            0.032035,            0.013187,                   0,             0.87706,             0.90909,             0.92678,             0.57941,            0.017856,           0.0057829,                   0,           0.0053226,           0.0053226,            0.052023
                   6,            0.029749,             0.01293,                   0,             0.77016,             0.86364,             0.88061,             0.48032,            0.016786,           0.0065368,                   0,           0.0062076,           0.0062076,            0.044008
                   7,            0.027775,            0.012751,                   0,             0.96179,             0.81818,             0.93794,             0.65314,            0.015453,           0.0052164,                   0,           0.0070907,           0.0070907,            0.035991
                   8,            0.026781,            0.012406,                   0,             0.88386,             0.92424,             0.96358,             0.59007,            0.013264,           0.0056708,                   0,           0.0079716,           0.0079716,            0.027972
                   9,            0.030309,             0.01275,                   0,             0.76693,             0.84758,             0.84073,             0.49132,            0.016276,           0.0065875,                   0,           0.0088501,           0.0088501,             0.01995
                  10,            0.030791,             0.01237,                   0,             0.82342,             0.84787,              0.8748,             0.55173,            0.017297,           0.0066912,                   0,           0.0097258,           0.0097258,            0.011926
                  11,            0.026576,            0.012955,                   0,             0.66585,             0.87879,             0.82598,             0.48762,            0.015199,           0.0061988,                   0,            0.009933,            0.009933,            0.009933
                  12,             0.02605,            0.012639,                   0,             0.75902,             0.81818,             0.85573,             0.47229,            0.012536,             0.00607,                   0,            0.009933,            0.009933,            0.009933
                  13,             0.02598,            0.012209,                   0,             0.79907,             0.78788,             0.83515,              0.4619,            0.020473,           0.0064036,                   0,           0.0099203,           0.0099203,           0.0099203
                  14,            0.026537,            0.012346,                   0,             0.85974,             0.84848,             0.87191,             0.54282,            0.015183,           0.0063509,                   0,           0.0099065,           0.0099065,           0.0099065
                  15,             0.02661,            0.011717,                   0,             0.84154,              0.9697,              0.9112,             0.63865,            0.012311,           0.0056852,                   0,           0.0098916,           0.0098916,           0.0098916
                  16,            0.024673,            0.012146,                   0,             0.79952,             0.90642,             0.91322,             0.56989,            0.018589,            0.005917,                   0,           0.0098757,           0.0098757,           0.0098757
                  17,             0.02428,            0.012329,                   0,             0.83985,             0.87879,             0.87586,             0.57454,            0.017826,            0.006222,                   0,           0.0098586,           0.0098586,           0.0098586
                  18,             0.02524,            0.012291,                   0,             0.88192,             0.90909,             0.92145,             0.63918,            0.014106,           0.0053894,                   0,           0.0098405,           0.0098405,           0.0098405
                  19,            0.021957,             0.01117,                   0,             0.95157,             0.89394,             0.94626,             0.70091,            0.011711,           0.0054469,                   0,           0.0098213,           0.0098213,           0.0098213
                  20,            0.022603,            0.011306,                   0,             0.71571,             0.95455,             0.90016,             0.64242,            0.010854,           0.0058714,                   0,           0.0098011,           0.0098011,           0.0098011
                  21,            0.021645,            0.011208,                   0,             0.87137,             0.92424,             0.94729,             0.73467,           0.0095526,            0.004734,                   0,           0.0097798,           0.0097798,           0.0097798
                  22,            0.023956,            0.011709,                   0,             0.86814,             0.92424,             0.94791,             0.67159,            0.012118,           0.0052718,                   0,           0.0097574,           0.0097574,           0.0097574
                  23,             0.02164,            0.011186,                   0,             0.78231,             0.87879,             0.88248,             0.58479,            0.012035,           0.0061907,                   0,            0.009734,            0.009734,            0.009734
                  24,            0.021286,            0.010709,                   0,             0.82635,             0.93939,             0.91451,             0.63049,            0.015951,           0.0056665,                   0,           0.0097095,           0.0097095,           0.0097095
                  25,            0.022689,            0.010896,                   0,             0.89679,             0.92424,             0.95238,             0.69302,            0.010722,            0.005313,                   0,            0.009684,            0.009684,            0.009684
                  26,            0.020623,            0.010802,                   0,             0.89041,             0.98485,             0.96607,             0.73953,            0.010325,           0.0046817,                   0,           0.0096575,           0.0096575,           0.0096575
                  27,            0.019628,            0.010192,                   0,             0.93288,             0.84848,              0.9456,             0.72515,              0.0137,           0.0047327,                   0,           0.0096299,           0.0096299,           0.0096299
                  28,            0.020738,            0.010306,                   0,             0.87086,             0.92424,             0.92169,             0.69578,             0.01431,           0.0049601,                   0,           0.0096013,           0.0096013,           0.0096013
                  29,            0.018919,             0.01008,                   0,              0.8265,             0.93939,             0.92939,             0.71921,            0.014538,           0.0049483,                   0,           0.0095717,           0.0095717,           0.0095717
                  30,             0.01984,            0.010518,                   0,             0.88747,              0.9697,             0.97009,             0.78334,            0.010713,           0.0048675,                   0,           0.0095411,           0.0095411,           0.0095411
                  31,            0.019631,            0.010675,                   0,             0.91301,             0.95418,             0.93504,             0.73276,            0.010112,           0.0047134,                   0,           0.0095095,           0.0095095,           0.0095095
                  32,            0.020473,             0.01003,                   0,             0.86363,             0.86364,             0.93738,             0.72541,            0.011608,           0.0051237,                   0,           0.0094769,           0.0094769,           0.0094769
                  33,            0.018014,           0.0095892,                   0,             0.92752,             0.96945,             0.96897,             0.79086,            0.011177,           0.0055496,                   0,           0.0094434,           0.0094434,           0.0094434
                  34,             0.01868,           0.0098324,                   0,             0.92673,              0.9697,             0.97327,             0.80865,           0.0097425,           0.0050166,                   0,           0.0094088,           0.0094088,           0.0094088
                  35,             0.01896,           0.0097974,                   0,             0.92186,             0.89379,             0.95637,             0.76909,            0.009824,           0.0057222,                   0,           0.0093733,           0.0093733,           0.0093733
                  36,            0.018061,           0.0098846,                   0,             0.89999,             0.95439,             0.95854,             0.78197,            0.010044,            0.004676,                   0,           0.0093369,           0.0093369,           0.0093369
                  37,            0.017579,           0.0096778,                   0,             0.91144,             0.93939,             0.95277,             0.75708,           0.0099764,           0.0044639,                   0,           0.0092995,           0.0092995,           0.0092995
                  38,            0.017489,           0.0095353,                   0,             0.93649,             0.89373,              0.9568,             0.78694,            0.011843,           0.0048175,                   0,           0.0092611,           0.0092611,           0.0092611
                  39,            0.019293,           0.0093898,                   0,             0.90958,             0.92424,             0.95737,             0.78007,            0.011111,           0.0047591,                   0,           0.0092219,           0.0092219,           0.0092219
                  40,            0.017955,           0.0095283,                   0,             0.88877,              0.9697,             0.96785,             0.80218,            0.015397,           0.0045734,                   0,           0.0091817,           0.0091817,           0.0091817
                  41,            0.018206,           0.0097078,                   0,             0.94117,             0.96959,             0.96669,             0.78028,            0.010659,           0.0050208,                   0,           0.0091406,           0.0091406,           0.0091406
                  42,            0.017482,           0.0096362,                   0,             0.91156,             0.93939,             0.93966,             0.76841,            0.011615,           0.0053228,                   0,           0.0090986,           0.0090986,           0.0090986
                  43,             0.01848,           0.0094199,                   0,             0.91169,             0.93854,              0.9586,             0.78622,           0.0099954,            0.004785,                   0,           0.0090557,           0.0090557,           0.0090557
                  44,            0.017523,           0.0095036,                   0,             0.95153,             0.89394,              0.9636,             0.80862,            0.010682,           0.0050565,                   0,           0.0090119,           0.0090119,           0.0090119
                  45,            0.016891,           0.0089649,                   0,             0.95587,             0.98461,             0.98334,             0.83423,            0.010635,           0.0040431,                   0,           0.0089673,           0.0089673,           0.0089673
                  46,            0.017402,            0.009147,                   0,             0.96875,             0.95455,             0.98261,             0.82054,            0.011016,           0.0044557,                   0,           0.0089218,           0.0089218,           0.0089218
                  47,            0.018617,           0.0092553,                   0,             0.98398,             0.93939,             0.97275,             0.83888,            0.010147,           0.0042737,                   0,           0.0088755,           0.0088755,           0.0088755
                  48,             0.01734,            0.009271,                   0,             0.98413,             0.93937,             0.98049,             0.82552,            0.011345,           0.0046221,                   0,           0.0088283,           0.0088283,           0.0088283
                  49,            0.015693,           0.0088977,                   0,             0.87668,             0.96939,             0.96799,              0.7881,            0.011728,           0.0044729,                   0,           0.0087804,           0.0087804,           0.0087804
                  50,            0.018017,           0.0086463,                   0,             0.95157,             0.89394,             0.96617,             0.80454,             0.01387,           0.0046842,                   0,           0.0087316,           0.0087316,           0.0087316
                  51,            0.016651,           0.0088273,                   0,             0.92692,              0.9697,             0.96728,             0.79536,            0.010537,           0.0050465,                   0,            0.008682,            0.008682,            0.008682
                  52,            0.016178,           0.0085971,                   0,             0.94013,             0.95455,             0.97604,              0.7842,           0.0092062,           0.0044507,                   0,           0.0086316,           0.0086316,           0.0086316
                  53,            0.017091,           0.0085805,                   0,             0.95573,             0.98485,             0.98133,              0.8373,           0.0093098,           0.0041121,                   0,           0.0085805,           0.0085805,           0.0085805
                  54,            0.018362,           0.0089806,                   0,             0.98437,             0.95446,             0.98117,             0.83003,            0.011318,           0.0045201,                   0,           0.0085286,           0.0085286,           0.0085286
                  55,            0.016962,            0.008851,                   0,             0.92857,             0.98477,             0.98045,              0.8299,            0.010297,           0.0039973,                   0,           0.0084759,           0.0084759,           0.0084759
                  56,            0.014765,           0.0084094,                   0,             0.92251,             0.93939,             0.96675,              0.8175,           0.0090324,           0.0046503,                   0,           0.0084225,           0.0084225,           0.0084225
                  57,            0.018962,           0.0090374,                   0,             0.92745,              0.9697,             0.97831,             0.84419,           0.0093805,           0.0042687,                   0,           0.0083684,           0.0083684,           0.0083684
                  58,            0.015379,           0.0083986,                   0,             0.98437,             0.95445,             0.98223,             0.82666,            0.010937,           0.0041268,                   0,           0.0083136,           0.0083136,           0.0083136
                  59,            0.015831,           0.0086082,                   0,             0.95588,             0.98482,             0.98197,             0.80097,            0.011112,           0.0041736,                   0,           0.0082581,           0.0082581,           0.0082581
                  60,            0.015426,           0.0085263,                   0,             0.98345,             0.90909,              0.9716,             0.84127,            0.010235,           0.0047857,                   0,           0.0082019,           0.0082019,           0.0082019
                  61,            0.015122,           0.0082293,                   0,             0.93938,             0.93918,              0.9722,             0.84004,            0.010791,           0.0044759,                   0,            0.008145,            0.008145,            0.008145
                  62,            0.015111,           0.0084341,                   0,              0.9418,             0.98485,             0.97686,             0.84416,            0.010227,           0.0046011,                   0,           0.0080875,           0.0080875,           0.0080875
                  63,            0.015698,           0.0083391,                   0,             0.99992,             0.95455,             0.98364,             0.84574,            0.010197,           0.0045068,                   0,           0.0080294,           0.0080294,           0.0080294
                  64,            0.015218,            0.008365,                   0,             0.96774,             0.90908,              0.9729,             0.84041,            0.011358,           0.0042123,                   0,           0.0079706,           0.0079706,           0.0079706
                  65,            0.014531,           0.0081611,                   0,             0.95438,             0.95455,             0.97966,             0.86677,           0.0096093,           0.0040719,                   0,           0.0079112,           0.0079112,           0.0079112
                  66,            0.015006,           0.0079682,                   0,             0.95426,             0.95455,              0.9761,             0.83022,            0.011013,           0.0043492,                   0,           0.0078512,           0.0078512,           0.0078512
                  67,             0.01582,           0.0080291,                   0,             0.92753,             0.96957,             0.98016,             0.85061,            0.011176,           0.0042238,                   0,           0.0077907,           0.0077907,           0.0077907
                  68,            0.014058,           0.0080705,                   0,             0.95451,             0.95455,             0.97541,             0.84089,           0.0099292,           0.0047612,                   0,           0.0077296,           0.0077296,           0.0077296
                  69,            0.017084,           0.0083863,                   0,             0.94107,              0.9697,             0.97208,             0.79885,           0.0098728,            0.005149,                   0,           0.0076679,           0.0076679,           0.0076679
                  70,              0.0142,           0.0082893,                   0,             0.95588,             0.98468,             0.97671,              0.8579,            0.011896,           0.0047455,                   0,           0.0076057,           0.0076057,           0.0076057
                  71,            0.013962,           0.0076467,                   0,             0.95584,             0.98485,              0.9799,             0.81907,             0.01206,             0.00502,                   0,            0.007543,            0.007543,            0.007543
                  72,            0.014727,           0.0080077,                   0,             0.94198,             0.98485,             0.97646,              0.8663,           0.0087467,           0.0045062,                   0,           0.0074797,           0.0074797,           0.0074797
                  73,             0.01554,            0.008067,                   0,             0.91545,             0.98485,             0.97637,             0.85813,            0.010657,           0.0045924,                   0,            0.007416,            0.007416,            0.007416
                  74,            0.015256,           0.0081125,                   0,             0.95581,             0.98485,             0.98068,             0.84198,             0.01218,           0.0043156,                   0,           0.0073518,           0.0073518,           0.0073518
                  75,            0.013645,           0.0077013,                   0,             0.92748,              0.9697,              0.9782,             0.86858,            0.011722,           0.0045758,                   0,           0.0072872,           0.0072872,           0.0072872
                  76,            0.014497,           0.0074293,                   0,             0.96922,             0.95455,             0.97968,             0.85281,            0.010958,            0.004416,                   0,           0.0072221,           0.0072221,           0.0072221
                  77,            0.015733,           0.0077215,                   0,             0.97015,             0.98476,             0.97403,             0.86438,            0.011108,           0.0044906,                   0,           0.0071566,           0.0071566,           0.0071566
                  78,            0.015024,           0.0080692,                   0,             0.96875,             0.93935,              0.9719,             0.84713,            0.010993,           0.0048462,                   0,           0.0070906,           0.0070906,           0.0070906
                  79,            0.013795,           0.0076506,                   0,             0.98411,             0.93939,              0.9725,             0.85591,            0.010183,           0.0044768,                   0,           0.0070243,           0.0070243,           0.0070243
                  80,            0.014575,           0.0076109,                   0,             0.94084,              0.9697,             0.96644,             0.84747,            0.011976,           0.0046606,                   0,           0.0069576,           0.0069576,           0.0069576
                  81,            0.013808,           0.0077508,                   0,              0.9846,             0.96892,             0.98164,               0.878,            0.011149,           0.0043667,                   0,           0.0068906,           0.0068906,           0.0068906
